Id	S	P	O	Found In	Section	Anchor	Kind of match	Text Segment	Anchor-URI
24	Paul Ritter	Occupation	Architect	Section	6	Royal Institute of British Architects	partial	 *  Founder Director, International Traffic Segregation Research Office, 1953  *  Member of Advisory Committee of the Civic Trust  *  Member of the Royal Institute of British Architects	http://nif.dbpedia.org/wiki/en/Paul_Ritter?dbpv=2016-10&nif=phrase&char=11700,11737
24	Paul Ritter	Occupation	Architect	Section	6	Royal Australian Institute of Architects	partial	 *  Founder Director, International Traffic Segregation Research Office, 1953  *  Member of Advisory Committee of the Civic Trust  *  Member of the Royal Institute of British Architects  *  Fellow of the Royal Australian Institute of Architects	http://nif.dbpedia.org/wiki/en/Paul_Ritter?dbpv=2016-10&nif=phrase&char=11756,11796
28	Afsaneh Najmabadi	Occupation	Historian	Abstract	0	historian	exact	Afsāneh Najmābādi (Persian: افسانه نجم‌آبادی‎‎; born 1946) is an Iranian-American historian	http://nif.dbpedia.org/wiki/en/Afsaneh_Najmabadi?dbpv=2016-10&nif=word&char=82,91
29	Ah Toy	Occupation	Prostitute	Abstract	0	prostitute	exact	Ah Toy (Cantonese: 亞彩/阿台 Aa3 Coi2; c. 1828–1928) was a Cantonese-born American prostitute	http://nif.dbpedia.org/wiki/en/Ah_Toy?dbpv=2016-10&nif=word&char=79,89
31	Alfred Lutter	Occupation	Actor	Abstract	0	child actor	partial	Alfred Lutter III (born March 21, 1962) is an American former child actor	http://nif.dbpedia.org/wiki/en/Alfred_Lutter?dbpv=2016-10&nif=phrase&char=62,73
35	Angelu de Leon	Occupation	Television	Abstract	0	television	exact	Maria Luisa Angela Martinez de Leon-Rivera was (born August 22, 1979), more famously known as Angelu de Leon, is a Filipina television	http://nif.dbpedia.org/wiki/en/Angelu_de_Leon?dbpv=2016-10&nif=word&char=124,134
37	Asa Kasher	Occupation	Philosopher	Abstract	0	philosopher	exact	Asa Kasher (Hebrew: אסא כשר‎‎, born on June 6, 1940) is an Israeli philosopher	http://nif.dbpedia.org/wiki/en/Asa_Kasher?dbpv=2016-10&nif=word&char=67,78
38	B. M. Bower	Occupation	Author	Abstract	0	author	exact	Bertha Muzzy Sinclair or Sinclair-Cowan, née Muzzy (November 15, 1871 – July 23, 1940), best known by her pseudonym B. M. Bower, was an American author	http://nif.dbpedia.org/wiki/en/B._M._Bower?dbpv=2016-10&nif=word&char=145,151
41	Bernard Spear	Occupation	Actor	Abstract	0	actor	exact	Bernard Spear (11 September 1919 – 9 May 2003) was an English actor	http://nif.dbpedia.org/wiki/en/Bernard_Spear?dbpv=2016-10&nif=word&char=62,67
44	Billy Miller (actor)	Occupation	Actor	Section	2	Outstanding Supporting Actor in a Drama Series	partial	Miller's last appearance as Richie Novak on All My Children coincided with his first appearance as Billy Abbott on The Young and the Restless on September 19, 2008. He became the fourth contract actor to fill the role, a role that had been met with varying degrees of success in its three previous attempts to recast the part. Miller, who submitted the longest Emmy reel among all nominated performers (over 32 minutes long—an entire episode), was awarded for his work in an It's A Wonderful Life-styled episode of The Young and the Restless with his first nomination and win as Outstanding Supporting Actor in a Drama Series	http://nif.dbpedia.org/wiki/en/Billy_Miller_(actor)?dbpv=2016-10&nif=phrase&char=2725,2771
50	Cecil Howard	Occupation	Director	Abstract	0	film director	partial	Cecil Howard is a former film director	http://nif.dbpedia.org/wiki/en/Cecil_Howard?dbpv=2016-10&nif=phrase&char=25,38
51	Cha Katō	Occupation	Comedian	Abstract	0	comedian	exact	Cha Katō (加藤 茶, かとう ちゃ, カトウ チャ) (born 1 March 1943, Fukushima, Fukushima), also known as Kato-chan, is a male Japanese comedian	http://nif.dbpedia.org/wiki/en/Cha_Katō?dbpv=2016-10&nif=word&char=119,127
53	Christopher Paul Neil	Occupation	Molester	Abstract	0	child molester	partial	Christopher Paul Neil (born February 6, 1975), also known as Mr. Swirl, Swirl Face, or Vico (nicknamed after the Interpol operation concerning him), is a convicted child molester	http://nif.dbpedia.org/wiki/en/Christopher_Paul_Neil?dbpv=2016-10&nif=phrase&char=164,178
56	Connell McShane	Occupation	Anchor	Section	1	anchor	exact	Since 2007, McShane has spent time covering the financial crisis, providing live reports from the scene when Bear Stearns and Lehman Brothers collapsed. He's also reported on the rise of China from Shanghai and Beijing, and covered the European debt crisis from Dublin, Ireland. Prior to joining FBN, McShane worked at Bloomberg Television where he served as a news reporter/anchor	http://nif.dbpedia.org/wiki/en/Connell_McShane?dbpv=2016-10&nif=word&char=774,779
57	Dan Resin	Occupation	Actor	Abstract	0	actor	exact	Dan Resin (February 22, 1931 – July 31, 2010) was an American actor	http://nif.dbpedia.org/wiki/en/Dan_Resin?dbpv=2016-10&nif=word&char=62,67
59	Derek Ramsay	Occupation	Model	Section	1.1	model	exact	Early in the 2000s, Derek Ramsay found work as an MTV VJ, a model	http://nif.dbpedia.org/wiki/en/Derek_Ramsay?dbpv=2016-10&nif=word&char=468,473
61	Donald Dinnie	Occupation	Strongman	Section	3	Angus Graham (strongman)	partial	 *  Angus MacAskill  *  Angus Graham (strongman)	http://nif.dbpedia.org/wiki/en/Donald_Dinnie?dbpv=2016-10&nif=phrase&char=4856,4881
61	Donald Dinnie	Occupation	Strongman	Abstract	0	strongman	exact	Donald Dinnie (1837–1916) was a Scottish strongman	http://nif.dbpedia.org/wiki/en/Donald_Dinnie?dbpv=2016-10&nif=word&char=41,50
65	Edward Smith (physician)	Occupation	Physician	Section	1	Royal College of Physicians	partial	Smith was educated at Queen's College, Birmingham, (a predecessor college of the University of Birmingham), and graduated MB in 1841, MD in 1843, and BA and LLB in 1848. In the following year he visited north-east Texas, to examine its capacity as a place of settlement for emigrants, and published an account of the journey and a report with charts of temperature and the new constitution of the state (London, 1849). In 1851 he passed the examination for the diploma of fellow of the Royal College of Surgeons of England and in 1854 he became a member of the Royal College of Physicians	http://nif.dbpedia.org/wiki/en/Edward_Smith_(physician)?dbpv=2016-10&nif=phrase&char=1199,1226
67	Francis Agar-Robartes, 7th Viscount Clifden	Occupation	Clifden	Abstract	0	Thomas Agar-Robartes, 6th Viscount Clifden	partial	Clifden was the second but eldest surviving son (his elder brother Captain the Hon. Thomas Agar-Robartes having been killed in the First World War) of Thomas Agar-Robartes, 6th Viscount Clifden	http://nif.dbpedia.org/wiki/en/Francis_Agar-Robartes,_7th_Viscount_Clifden?dbpv=2016-10&nif=phrase&char=268,310
74	Harold Dow	Occupation	Correspondent	Section	6	48 Hours correspondent Harold Dow reports: Point Break, Pt. 1: A man's obsession may have led to his own death, originally aired 5/17/2008.	partial	 * Harold Dow's Bio Sketch at CBS News  * Beyond The Boardwalk:Dow Reports on 4 grisly killings in Atlantic City  * 48 Hours correspondent Harold Dow reports: Point Break, Pt. 1: A man's obsession may have led to his own death, originally aired 5/17/2008.	http://nif.dbpedia.org/wiki/en/Harold_Dow?dbpv=2016-10&nif=phrase&char=3008,3147
74	Harold Dow	Occupation	Correspondent	Section	6	48 Hours correspondent Harold Dow reports: Point Break, Pt. 2: A man's obsession may have led to his own death, originally aired 5/17/2008.	partial	 * Harold Dow's Bio Sketch at CBS News  * Beyond The Boardwalk:Dow Reports on 4 grisly killings in Atlantic City  * 48 Hours correspondent Harold Dow reports: Point Break, Pt. 1: A man's obsession may have led to his own death, originally aired 5/17/2008.  * 48 Hours correspondent Harold Dow reports: Point Break, Pt. 2: A man's obsession may have led to his own death, originally aired 5/17/2008.	http://nif.dbpedia.org/wiki/en/Harold_Dow?dbpv=2016-10&nif=phrase&char=3151,3290
74	Harold Dow	Occupation	Correspondent	Abstract	0	correspondent	exact	Harold Dow (September 28, 1947 – August 21, 2010) was an American television news correspondent	http://nif.dbpedia.org/wiki/en/Harold_Dow?dbpv=2016-10&nif=word&char=82,95
76	Henri Pachard	Occupation	Pseudonyms	Abstract	0	pseudonyms	exact	Henri Pachard, Jackson St. Louis and Crystal Blue were the pseudonyms	http://nif.dbpedia.org/wiki/en/Henri_Pachard?dbpv=2016-10&nif=word&char=59,69
78	Howard Deering Johnson	Occupation	Entrepreneur	Abstract	0	entrepreneur	exact	Howard Dearing Johnson (February 2, 1897 – June 20, 1972) was an entrepreneur	http://nif.dbpedia.org/wiki/en/Howard_Deering_Johnson?dbpv=2016-10&nif=word&char=65,77
83	James Vanderbilt	Occupation	Screenwriter	Abstract	0	screenwriter	exact	James Platten Vanderbilt (born November 1975) is an American screenwriter	http://nif.dbpedia.org/wiki/en/James_Vanderbilt?dbpv=2016-10&nif=word&char=61,73
84	Jeon Mi-seon	Occupation	Actress	Abstract	0	supporting actress	partial	Jeon Mi-seon (born December 7, 1970) is a South Korean actress. Though best known as a supporting actress	http://nif.dbpedia.org/wiki/en/Jeon_Mi-seon?dbpv=2016-10&nif=phrase&char=87,105
86	Jim Enright	Occupation	Director	Abstract	0	film director	partial	Jim Enright (born 2 November 1954) is a pornographic film director	http://nif.dbpedia.org/wiki/en/Jim_Enright?dbpv=2016-10&nif=phrase&char=53,66
94	Julie Mitchum	Occupation	Mitchum	Section	2	Julie Mitchum	partial	 *  Julie Mitchum	http://nif.dbpedia.org/wiki/en/Julie_Mitchum?dbpv=2016-10&nif=phrase&char=661,675
95	Kashpir Ganusov	Occupation	Bellmaker	Abstract	0	bellmaker	exact	Kashpir Ganusov (Russian: Кашпир Ганусов) was a Russian bellmaker	http://nif.dbpedia.org/wiki/en/Kashpir_Ganusov?dbpv=2016-10&nif=word&char=56,65
96	Kathleen Chalfant	Occupation	Actress	Abstract	0	actress	exact	Kathleen Chalfant (born January 14, 1945) is an American actress	http://nif.dbpedia.org/wiki/en/Kathleen_Chalfant?dbpv=2016-10&nif=word&char=57,64
97	Kevin Burkhardt	Occupation	Sportscaster	Abstract	0	sportscaster	exact	Kevin Burkhardt (born March 2, 1974) is an American sportscaster	http://nif.dbpedia.org/wiki/en/Kevin_Burkhardt?dbpv=2016-10&nif=word&char=52,64
100	Kris Kramski	Occupation	Director	Section	3	Director Kris Kramski at the Adult Film Database	partial	 *  Kris Kramski at the Internet Movie Database  *  Kris Kramski at the Internet Adult Film Database  *  Director Kris Kramski at the Adult Film Database	http://nif.dbpedia.org/wiki/en/Kris_Kramski?dbpv=2016-10&nif=phrase&char=465,514
100	Kris Kramski	Occupation	Director	Abstract	0	film director	partial	Kris Kramski is a pornographic film director	http://nif.dbpedia.org/wiki/en/Kris_Kramski?dbpv=2016-10&nif=phrase&char=31,44
101	Lee Deok-hwa	Occupation	Actor	Abstract	0	actor	exact	Lee Deok-hwa (born May 8, 1952) is a South Korean actor	http://nif.dbpedia.org/wiki/en/Lee_Deok-hwa?dbpv=2016-10&nif=word&char=50,55
108	Mike Ahern (news anchor)	Occupation	Presenter	Abstract	0	news presenter	partial	Mike Ahern is a retired news presenter	http://nif.dbpedia.org/wiki/en/Mike_Ahern_(news_anchor)?dbpv=2016-10&nif=phrase&char=24,38
110	Ned O'Gorman	Occupation	Poet	Section	1.2	Lamont Poetry Award	partial	His poetry earned him Guggenheim Fellowships in 1956 and 1962. He won the Lamont Poetry Award	http://nif.dbpedia.org/wiki/en/Ned_O'Gorman?dbpv=2016-10&nif=phrase&char=679,698
111	Ngawang Sangdrol	Occupation	Prisoner	Section	9	Ngawang Sangdrol, Prominent Tibetan Political Prisoner, Released Ahead of Bush-Jiang Meeting	partial	 *  China: John Kamm’s List  *  Ngawang Sangdrol, Prominent Tibetan Political Prisoner, Released Ahead of Bush-Jiang Meeting	http://nif.dbpedia.org/wiki/en/Ngawang_Sangdrol?dbpv=2016-10&nif=phrase&char=5239,5332
111	Ngawang Sangdrol	Occupation	Prisoner	Section	8	Political prisoner	partial	 * Political prisoner	http://nif.dbpedia.org/wiki/en/Ngawang_Sangdrol?dbpv=2016-10&nif=phrase&char=5173,5191
111	Ngawang Sangdrol	Occupation	Prisoner	Section	4	Prisoner of Conscience	partial	As the nun's recordings began circulating around Tibet, this helped to create further interest in their plight. Ngawang Sangdrol became an Amnesty International Prisoner of Conscience	http://nif.dbpedia.org/wiki/en/Ngawang_Sangdrol?dbpv=2016-10&nif=phrase&char=3622,3644
120	Peter Alan Rayner	Occupation	Author	Abstract	0	author	exact	Peter Alan Rayner (1924 – 29 July 2007) was a British author	http://nif.dbpedia.org/wiki/en/Peter_Alan_Rayner?dbpv=2016-10&nif=word&char=54,60
125	Reggie Showers	Occupation	Drag	Abstract	0	motorcycle drag racing	partial	Reggie Showers, born February 6, 1964, was a two-time motorcycle drag racing	http://nif.dbpedia.org/wiki/en/Reggie_Showers?dbpv=2016-10&nif=phrase&char=54,76
127	Roger Murray-Leach	Occupation	Designer	Abstract	0	Production Designer	partial	Roger Murray-Leach (born 25 June 1943) is a British Production Designer	http://nif.dbpedia.org/wiki/en/Roger_Murray-Leach?dbpv=2016-10&nif=phrase&char=52,71
130	Sam Levinson	Occupation	Actor	Abstract	0	actor	exact	Samuel "Sam" Levinson (born 1985) is an American actor	http://nif.dbpedia.org/wiki/en/Sam_Levinson?dbpv=2016-10&nif=word&char=49,54
135	Sima Tan	Occupation	Historian	Abstract	0	historian	exact	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian	http://nif.dbpedia.org/wiki/en/Sima_Tan?dbpv=2016-10&nif=word&char=145,154
135	Sima Tan	Occupation	Historian	Abstract	0	Records of the Grand Historian	partial	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian who worked under the Western Han. He studied astronomy with Tang Du, the I Ching under Yang He, and Daoism under Master Huang. He held the position of Court Astrologer (太史令) between 140-110 BC. While Sima Tan had begun the Records of the Grand Historian	http://nif.dbpedia.org/wiki/en/Sima_Tan?dbpv=2016-10&nif=phrase&char=378,408
138	Sunil (actor)	Occupation	Actor	Section	2	Best Supporting Actor - Telugu	partial	Filmfare Awards  *  Best Comedian – Telugu – Peda Babu (2004)  *  Best Supporting Actor - Telugu	http://nif.dbpedia.org/wiki/en/Sunil_(actor)?dbpv=2016-10&nif=phrase&char=982,1013
139	Susan Moody	Occupation	Nom	Abstract	0	nom de plume	partial	Susan Moody (born 1940 in Oxford) is the principal nom de plume	http://nif.dbpedia.org/wiki/en/Susan_Moody?dbpv=2016-10&nif=phrase&char=51,63
141	Terry Peck	Occupation	Member	Section	2	elected a member of the Legislative Council	partial	He continued in his career with the Police Force becoming the Chief of Police and attending the Bramshill Police College, Hampshire. While serving in the police force, he displayed his characteristic courage and tenacity, on one occasion driving for 10 hours across the Camp to rescue a family whose house burnt down one Christmas. On another he ignored orders, diving on the wreck of an aircraft in Mare Harbour to assist in the rescue of the bodies of the occupants. Although he was awarded the Colonial Police Medal in 1975, he became dissatisfied with the police service and retired early. One of the secret duties of the Chief of Police was to collate intelligence on local political agitators, including legislative councillors, and the few Argentines living in Stanley; this was a duty he found increasingly distasteful. He was elected a member of the Legislative Council	http://nif.dbpedia.org/wiki/en/Terry_Peck?dbpv=2016-10&nif=phrase&char=2740,2783
143	Tom Davis (journalist)	Occupation	Journalist	Abstract	0	journalist	exact	Tom Davis (born 1967) is an award-winning journalist	http://nif.dbpedia.org/wiki/en/Tom_Davis_(journalist)?dbpv=2016-10&nif=word&char=42,52
146	Tony Moclair	Occupation	Actor	Section	3	The Einstein Factor	partial	He made appearances on the ABC's The Einstein Factor	http://nif.dbpedia.org/wiki/en/Tony_Moclair?dbpv=2016-10&nif=phrase&char=4395,4414
147	Trond Kirkvaag	Occupation	Comedian	Abstract	0	comedian	exact	Trond Georg Kirkvaag (21 June 1946 – 16 November 2007) was a Norwegian comedian	http://nif.dbpedia.org/wiki/en/Trond_Kirkvaag?dbpv=2016-10&nif=word&char=71,79
148	Una McLean	Occupation	Actress	Abstract	0	actress	exact	Una McLean MBE (born 1 May 1930 in Strathaven, Scotland) is a British actress	http://nif.dbpedia.org/wiki/en/Una_McLean?dbpv=2016-10&nif=word&char=70,77
151	Waliur Rahman Bhuiyan	Occupation	Businessman	Abstract	0	businessman	exact	Waliur Rahman Bhuiyan, OBE (born 2 July 1952) is a Bangladeshi businessman	http://nif.dbpedia.org/wiki/en/Waliur_Rahman_Bhuiyan?dbpv=2016-10&nif=word&char=63,74
152	Wang Canfa	Occupation	Professor	Abstract	0	professor	exact	Wang Canfa (simplified Chinese: 王灿发; traditional Chinese: 王燦發; pinyin: Wáng Cànfā) is a Chinese professor	http://nif.dbpedia.org/wiki/en/Wang_Canfa?dbpv=2016-10&nif=word&char=96,105
153	Aaron Fa'aoso	Occupation	Television	Abstract	0	television	exact	Aaron Fa'aoso (born circa 1976), an Indigenous Australian of Torres Strait Islander, Samoan and Tongan descent, is a television	http://nif.dbpedia.org/wiki/en/Aaron_Fa'aoso?dbpv=2016-10&nif=word&char=117,127
154	Aaron Sidwell	Occupation	Actor	Section	1	X Factor	partial	At the end of April 2010, Sidwell started working on an Internet show called Almost, but not quite, playing the part of Josh Newell; the show is set to air on 24 May. In August 2011, he starred in a new musical called The Prodigals alongside X Factor	http://nif.dbpedia.org/wiki/en/Aaron_Sidwell?dbpv=2016-10&nif=phrase&char=1740,1748
155	Aaryn Doyle	Occupation	Actress	Abstract	0	actress	exact	Aaryn Élan Doyle (born January 4, 1993) is a Canadian actress	http://nif.dbpedia.org/wiki/en/Aaryn_Doyle?dbpv=2016-10&nif=word&char=54,61
158	Ahmed Rubel	Occupation	Bangladeshi	Abstract	0	Bangladeshi	exact	Ahmed Reza Rubel (born 1969) is a Bangladeshi	http://nif.dbpedia.org/wiki/en/Ahmed_Rubel?dbpv=2016-10&nif=word&char=34,45
166	Alighiero Noschese	Occupation	Impersonator	Abstract	0	impersonator	exact	Alighiero Noschese (Italian pronunciation: [aliˈɡjɛːro noˈskeːze]; 25 November 1932 – 3 December 1979) was an Italian TV impersonator	http://nif.dbpedia.org/wiki/en/Alighiero_Noschese?dbpv=2016-10&nif=word&char=121,133
167	Alisher Saipov	Occupation	Journalist	Section	1	Committee to Protect Journalists	partial	Saipov reported "aggressively" on Uzbekistan's politics. According to the NGO Committee to Protect Journalists	http://nif.dbpedia.org/wiki/en/Alisher_Saipov?dbpv=2016-10&nif=phrase&char=741,773
168	Amanda Noar	Occupation	Actress	Abstract	0	actress	exact	Amanda Noar (born 1962) is an English actress	http://nif.dbpedia.org/wiki/en/Amanda_Noar?dbpv=2016-10&nif=word&char=38,45
170	Amri Hernández-Pellerano	Occupation	Engineer	Abstract	0	electronics engineer	partial	Amri Hernández-Pellerano is a Puerto Rican electronics engineer	http://nif.dbpedia.org/wiki/en/Amri_Hernández-Pellerano?dbpv=2016-10&nif=phrase&char=43,63
175	Andrew Sledd	Occupation	Theologian	Abstract	0	theologian	exact	Andrew Warren Sledd (November 7, 1870 – March 16, 1939) was an American theologian	http://nif.dbpedia.org/wiki/en/Andrew_Sledd?dbpv=2016-10&nif=word&char=72,82
178	André Frossard	Occupation	Journalist	Abstract	0	journalist	exact	André Frossard (1915–1995) was a French journalist	http://nif.dbpedia.org/wiki/en/André_Frossard?dbpv=2016-10&nif=word&char=40,50
179	Andy Cohen (television personality)	Occupation	Show	Abstract	0	talk show	partial	Andrew Joseph "Andy" Cohen (born June 2, 1968) is an American talk show	http://nif.dbpedia.org/wiki/en/Andy_Cohen_(television_personality)?dbpv=2016-10&nif=phrase&char=62,71
179	Andy Cohen (television personality)	Occupation	Show	Section	1	The Early Show	partial	Cohen was born in St. Louis, Missouri, the son of Evelyn and Lou Cohen. He graduated from Clayton High School in 1986. As a child, Cohen attended Camp Nebagamon For Boys in Lake Nebagamon, Wisconsin. He is a graduate of Boston University, where he received a Bachelor of Arts degree in broadcast journalism. He interned at CBS News alongside Julie Chen, who was also working as an intern. He spent 10 years at CBS News, eventually serving as senior producer of The Early Show	http://nif.dbpedia.org/wiki/en/Andy_Cohen_(television_personality)?dbpv=2016-10&nif=phrase&char=1026,1040
182	Anni-Kristiina Juuso	Occupation	Actress	Abstract	0	actress	exact	Anni-Kristiina Juuso (Northern Sami: Ánne Risten Juuso, born 4 May 1979, Ivalo, Finland) is a Sámi actress	http://nif.dbpedia.org/wiki/en/Anni-Kristiina_Juuso?dbpv=2016-10&nif=word&char=99,106
184	Antonio Ottone	Occupation	Director	Abstract	0	film director	partial	Antonio Ottone (1941 - March 2, 2002) was an Argentine film director	http://nif.dbpedia.org/wiki/en/Antonio_Ottone?dbpv=2016-10&nif=phrase&char=55,68
187	Archibald Boyd	Occupation	Dean	Section	1.1	deanery of Exeter	partial	On 11 November 1867 he accepted the deanery of Exeter	http://nif.dbpedia.org/wiki/en/Archibald_Boyd?dbpv=2016-10&nif=phrase&char=1215,1232
187	Archibald Boyd	Occupation	Dean	Abstract	0	Dean of Exeter	partial	Archibald Boyd (1803 – 11 July 1883) was Dean of Exeter	http://nif.dbpedia.org/wiki/en/Archibald_Boyd?dbpv=2016-10&nif=phrase&char=41,55
194	Badja Djola	Occupation	Actor	Abstract	0	actor	exact	Badja Medu Djola (April 9, 1948 – January 8, 2005) was an American actor	http://nif.dbpedia.org/wiki/en/Badja_Djola?dbpv=2016-10&nif=word&char=67,72
196	Barbara Colley	Occupation	Romance	Abstract	0	romance	exact	Barbara Ann Logan Colley (born July 26, 1947) is a romance	http://nif.dbpedia.org/wiki/en/Barbara_Colley?dbpv=2016-10&nif=word&char=51,58
200	Beccy Armory	Occupation	Actress	Abstract	0	actress	exact	Beccy Armory is a television actress	http://nif.dbpedia.org/wiki/en/Beccy_Armory?dbpv=2016-10&nif=word&char=29,36
202	Ben Gold	Occupation	Leader	Section	4	Apex Hosiery Co. v. Leader	partial	Meanwhile, Gold's appeal on the second set of Sherman Antitrust Act violations was winding its way through the courts. On May 27, 1940, the Supreme Court of the United States issued its ruling in Apex Hosiery Co. v. Leader	http://nif.dbpedia.org/wiki/en/Ben_Gold?dbpv=2016-10&nif=phrase&char=32896,32922
208	Bill Davis (artist)	Occupation	Illustrator	Abstract	0	illustrator	exact	William Robert Davis, aka Bill Davis (born May 1949 in Venice, California) is an American illustrator	http://nif.dbpedia.org/wiki/en/Bill_Davis_(artist)?dbpv=2016-10&nif=word&char=90,101
211	Bill Prady	Occupation	Writer	Abstract	0	writer	exact	Bill Prady (born June 7, 1960) is a television writer	http://nif.dbpedia.org/wiki/en/Bill_Prady?dbpv=2016-10&nif=word&char=47,53
215	Bob Phillips	Occupation	Journalist	Abstract	0	journalist	exact	Robert Leon Phillips, known as Bob Phillips (born June 23, 1951), is an American television journalist	http://nif.dbpedia.org/wiki/en/Bob_Phillips?dbpv=2016-10&nif=word&char=92,102
216	Brandon Potter	Occupation	Actor	Abstract	0	voice actor	partial	Charles Brandon Potter (born July 28, 1982) is an American voice actor	http://nif.dbpedia.org/wiki/en/Brandon_Potter?dbpv=2016-10&nif=phrase&char=59,70
231	Candace Hutson	Occupation	Actress	Abstract	0	child actress	partial	Candace Hutson (born May 3, 1980) is an American former child actress	http://nif.dbpedia.org/wiki/en/Candace_Hutson?dbpv=2016-10&nif=phrase&char=56,69
233	Cate Bauer	Occupation	Actress	Abstract	0	actress	exact	Cate Bauer (born 27 August 1922 in London, England) is an English actress	http://nif.dbpedia.org/wiki/en/Cate_Bauer?dbpv=2016-10&nif=word&char=66,73
234	Cecilia Frode	Occupation	Actress	Section	1	Best Supporting Actress	partial	Frode graduated from the theatre school in Malmö in 1994. She also won a Guldbagge Award for Best Supporting Actress	http://nif.dbpedia.org/wiki/en/Cecilia_Frode?dbpv=2016-10&nif=phrase&char=184,207
235	Chabelo	Occupation	Actor	Abstract	0	actor	exact	Xavier López Rodríguez (born February 17, 1935), better known as "Chabelo", is a Mexican actor	http://nif.dbpedia.org/wiki/en/Chabelo?dbpv=2016-10&nif=word&char=89,94
