0	Samuel Simons	CityOfResidence	Bridgeport, Connecticut	Section	1	Bridgeport, Connecticut	exact	He was born in Bridgeport, Connecticut	http://nif.dbpedia.org/wiki/en/Samuel_Simons?dbpv=2016-10&nif=phrase&char=271,294
9	Gavin Free	CityOfResidence	Austin, Texas	Abstract	0	Austin, Texas	exact	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas. Originally from Thame in Oxfordshire, he is best known for his work at the Austin, Texas	http://nif.dbpedia.org/wiki/en/Gavin_Free?dbpv=2016-10&nif=phrase&char=204,217
9	Gavin Free	CityOfResidence	Austin, Texas	Abstract	0	Austin, Texas	exact	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas	http://nif.dbpedia.org/wiki/en/Gavin_Free?dbpv=2016-10&nif=phrase&char=114,127
10	Sanford Levinson	CityOfResidence	Austin, Texas	Section	1	Austin, Texas	exact	Sanford Levinson received a bachelor's degree from Duke University, a law degree from Stanford University, and a PhD degree from Harvard University. At one point he was a member of the department of Politics at Princeton. Levinson taught law at Georgetown, Yale, Harvard, New York University, Boston University, Panthéon-Assas University, Central European University in Budapest, and the Hebrew University in Jerusalem. In 2001, Levinson was elected to the American Academy of Arts and Sciences. In 2010, he was given the Lifetime Achievement Award by the Law and Courts Section of the American Political Science Association. In 1980, he joined the University of Texas School of Law at Austin, Texas	http://nif.dbpedia.org/wiki/en/Sanford_Levinson?dbpv=2016-10&nif=phrase&char=1206,1219
14	John Herschel	CityOfResidence	Cape Town	Section	2	Cape Town	exact	The document was circulated, and Charles Babbage incorporated extracts in his ninth and unofficial Bridgewater Treatise, which postulated laws set up by a divine programmer. When HMS Beagle called at Cape Town	http://nif.dbpedia.org/wiki/en/John_Herschel?dbpv=2016-10&nif=phrase&char=7877,7886
14	John Herschel	CityOfResidence	Cape Town	Section	2	Cape Town	exact	Declining an offer from the Duke of Sussex that they travel to South Africa on a Navy ship, Herschel and his wife paid £500 for passage on the S.S. Mountstuart Elphinstone, which departed from Portsmouth on 13 November 1833.The voyage to South Africa was made in order to catalogue the stars, nebulae, and other objects of the southern skies. This was to be a completion as well as extension of the survey of the northern heavens undertaken initially by his father William Herschel. He arrived in Cape Town	http://nif.dbpedia.org/wiki/en/John_Herschel?dbpv=2016-10&nif=phrase&char=3928,3937
14	John Herschel	CityOfResidence	Cape Town	Section	4	Cape Town	exact	he village of Herschel in western Saskatchewan (Canada), Mount Herschel (Antarctica), the crater J. Herschel on the Moon, and the Herschel Girls' School in Cape Town 	http://nif.dbpedia.org/wiki/en/John_Herschel?dbpv=2016-10&nif=phrase&char=12025,12034
15	Carter Harrison Jr.	CityOfResidence	Chicago	Abstract	0	Chicago	exact	Carter Henry Harrison Jr. (April 23, 1860 – December 25, 1953) was an American politician who served as Mayor of Chicago	http://nif.dbpedia.org/wiki/en/Carter_Harrison_Jr.?dbpv=2016-10&nif=word&char=113,120
15	Carter Harrison Jr.	CityOfResidence	Chicago	Section	1	Chicago Times	partial	Like his father, Carter Harrison, Sr., Harrison gained election to five terms as Chicago's mayor. Educated in Saxe-Altenburg, Germany, Harrison returned to Chicago to help his brother run the Chicago Times	http://nif.dbpedia.org/wiki/en/Carter_Harrison_Jr.?dbpv=2016-10&nif=phrase&char=469,482
16	Carter Harrison Sr.	CityOfResidence	Chicago	Abstract	0	Chicago	exact	Carter Henry Harrison Sr. (February 15, 1825 – October 28, 1893) was an American politician who served as mayor of Chicago	http://nif.dbpedia.org/wiki/en/Carter_Harrison_Sr.?dbpv=2016-10&nif=word&char=115,122
16	Carter Harrison Sr.	CityOfResidence	Chicago	Section	1	Chicago Tribune	partial	In 1890, Harrison and his daughter took a vacation trip from Chicago to Yellowstone National Park and Alaska. His letters from the trip were first published in the Chicago Tribune	http://nif.dbpedia.org/wiki/en/Carter_Harrison_Sr.?dbpv=2016-10&nif=phrase&char=1630,1645
17	John Coughlin (alderman)	CityOfResidence	Chicago	Section	1.1	Chicago Coliseum	partial	Coughlin and Kenna were also the hosts of the First Ward Ball, an annual political fundraiser which brought together safecrackers, prostitutes, gangsters, politicians, businessmen, gamblers, and a variety of other types. The event raised more than $50,000 a year for the two First Ward aldermen until it was closed down in 1909 by Mayor Fred Busse. By the time it was banned, the ball was so large that it had to be held in the Chicago Coliseum	http://nif.dbpedia.org/wiki/en/John_Coughlin_(alderman)?dbpv=2016-10&nif=phrase&char=1330,1346
17	John Coughlin (alderman)	CityOfResidence	Chicago	Abstract	0	Chicago	exact	"Bathhouse" John Coughlin (August 15, 1860 – November 11, 1938) was an alderman of Chicago	http://nif.dbpedia.org/wiki/en/John_Coughlin_(alderman)?dbpv=2016-10&nif=word&char=83,90
17	John Coughlin (alderman)	CityOfResidence	Chicago	Section	1	Gray Wolves of Chicago	partial	Coughlin was born August 15, 1860 in Chicago. He acquired his nickname as a result of working in a bathhouse as a masseur. Eventually he was able to purchase a tavern and several bathhouses of his own. Coughlin was elected alderman from Chicago's First Ward on April 5, 1892. Coughlin and his partner, fellow First Ward alderman Michael "Hinky Dink" Kenna, were known as the "Lords of the Levee", a district which was part of their ward. The Levee was known as being a vice-ridden section of Chicago and home to many saloons, gambling dens, prostitutes, pimps, and flop houses. The two also led the Gray Wolves of Chicago	http://nif.dbpedia.org/wiki/en/John_Coughlin_(alderman)?dbpv=2016-10&nif=phrase&char=861,883
18	William B. Ogden	CityOfResidence	Chicago	Section	2	Great Chicago Fire	partial	On October 8, 1871, Ogden lost most of his prized possessions in the Great Chicago Fire	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=3981,3999
18	William B. Ogden	CityOfResidence	Chicago	Section	2	Chicago River	partial	Namesakes of William B. Ogden include a stretch of U.S. Highway 34, called Ogden Avenue in Chicago and its suburbs, Ogden International School of Chicago, which is located on Walton Street in Chicago, and Ogden Slip, a man-made harbor near the mouth of the Chicago River	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=4591,4604
18	William B. Ogden	CityOfResidence	Chicago	Section	1	Chicago River	partial	Ogden designed the first swing bridge over the Chicago River	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=619,632
18	William B. Ogden	CityOfResidence	Chicago	Section	1	Chicago Board of Trade	partial	Ogden designed the first swing bridge over the Chicago River and donated the land for Rush Medical Center. Ogden was also a founder of the Chicago Board of Trade	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=711,733
18	William B. Ogden	CityOfResidence	Chicago	Section	1	Galena and Chicago Union Railroad	partial	Ogden was a leading promoter and investor in the Illinois and Michigan Canal, then switched his loyalty to railroads. Throughout his later life, Ogden was heavily involved in the building of several railroads. "In 1847, Ogden announced a plan to build a railway out of Chicago, but no capital was forthcoming. Eastern investors were wary of Chicago's reputation for irrational boosterism, and Chicagoans did not want to divert traffic from their profitable canal works. So Ogden and his partner J. Young Scammon solicited subscriptions from the farmers and small businessmen whose land lay adjacent to the proposed rail. Farmer's wives used the money they earned from selling eggs to buy shares of stock on a monthly payment plan. By 1848, Ogden and Scammon had raised $350,000—enough to begin laying track. The Galena and Chicago Union Railroad	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=1547,1580
18	William B. Ogden	CityOfResidence	Chicago	Section	1	Chicago	exact	Ogden was born on June 15, 1805, in Walton, New York. When still a teenager, his father died and Ogden took over the family real estate business. He assisted Charles Butler, his brother-in-law, with business matters related to opening a new building for New York University, attending the law school for a brief period himself. He was a member of the New York State Assembly (Delaware Co.) in 1835. He married Marianna T. Arnot. In 1837-1838 he became the first mayor of Chicago	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=word&char=563,570
18	William B. Ogden	CityOfResidence	Chicago	Section	4	The railroad tycoon who built Chicago : a biography of William B. Ogden	partial	 *  Harpster, Jack (2009). The railroad tycoon who built Chicago : a biography of William B. Ogden	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=4714,4785
18	William B. Ogden	CityOfResidence	Chicago	Section	1	Chicago River	partial	In 1853 the Chicago Land Company, of which Ogden was a trustee, purchased land at a bend in the Chicago River	http://nif.dbpedia.org/wiki/en/William_B._Ogden?dbpv=2016-10&nif=phrase&char=1901,1914
19	Greg Harris (Illinois politician)	CityOfResidence	Chicago	Abstract	0	Chicago	exact	Gregory S. Harris (born June 5, 1955) is a Democratic member of the Illinois House of Representatives, having represented the state's 13th district since 2007. He was elected in November 2006, having been selected by the 13th district's Democratic ward committeemen to replace Larry McKeon as the party's nominee on the November ballot. No Republican filed for the District 13 seat in downtown Chicago	http://nif.dbpedia.org/wiki/en/Greg_Harris_(Illinois_politician)?dbpv=2016-10&nif=word&char=394,401
20	John Powers (alderman)	CityOfResidence	Chicago	Abstract	0	Chicago	exact	John Powers (February 15, 1852 in Brannon, Ireland - May 19, 1930) served as an alderman in Chicago	http://nif.dbpedia.org/wiki/en/John_Powers_(alderman)?dbpv=2016-10&nif=word&char=92,99
21	John Stroger	CityOfResidence	Chicago	Section	1	South Side of Chicago	partial	John Stroger was born May 19, 1929 in Helena, Arkansas. In 1953 he graduated from Xavier University in Louisiana with a B.S. in business administration. Stroger then relocated to Chicago in 1953 and became active in the Democratic party in the South Side of Chicago	http://nif.dbpedia.org/wiki/en/John_Stroger?dbpv=2016-10&nif=phrase&char=700,721
21	John Stroger	CityOfResidence	Chicago	Section	1	Chicago	exact	John Stroger was born May 19, 1929 in Helena, Arkansas. In 1953 he graduated from Xavier University in Louisiana with a B.S. in business administration. Stroger then relocated to Chicago	http://nif.dbpedia.org/wiki/en/John_Stroger?dbpv=2016-10&nif=word&char=635,642
21	John Stroger	CityOfResidence	Chicago	Section	5.1	Chicago Sun-Times	partial	In late June 2006 John Stroger was removed from the Democratic ticket for Cook County Board President and replaced by his son, Todd Stroger. Stroger also resigned as Cook County Board President effective August 1 and was replaced by interim president Bobbie L. Steele. Republicans and some Democrats saw the move as nepotism, and Claypool even told the Chicago Sun-Times	http://nif.dbpedia.org/wiki/en/John_Stroger?dbpv=2016-10&nif=phrase&char=4909,4926
22	Ron Huberman	CityOfResidence	Chicago	Section	4	University of Chicago Law School	partial	In 2009, Huberman was given a Distinguished Alumni Award by the Booth Graduate School of Business/University of Chicago. Huberman also is a lecturer at the University of Chicago Law School	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=14123,14155
22	Ron Huberman	CityOfResidence	Chicago	Section	2.5	City Club of Chicago	partial	Huberman also met regularly with educational experts early in his tenure and developed a set of strategic priorities – among them teacher retention and recruitment,safety and security, strengthening middle management, and pushing available resources to the local school level. He spelled out these priorities in a speech to the City Club of Chicago	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=8371,8391
22	Ron Huberman	CityOfResidence	Chicago	Abstract	0	Chicago Transit Authority	partial	Ron Huberman is an American private equity manager and entrepreneur. He moved to the private sector following almost two decades in public service for the city of Chicago. He is the former chief executive officer and superintendent of Chicago Public Schools (2009-2010), the third-largest school system in the United States. In that role, he oversaw a system of 675 schools and more than 400,000 students with a budget of upwards $6 billion. Prior to heading to CPS, Huberman served as president of the Chicago Transit Authority	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=503,528
22	Ron Huberman	CityOfResidence	Chicago	Abstract	0	Chicago Public Schools	partial	Ron Huberman is an American private equity manager and entrepreneur. He moved to the private sector following almost two decades in public service for the city of Chicago. He is the former chief executive officer and superintendent of Chicago Public Schools	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=235,257
22	Ron Huberman	CityOfResidence	Chicago	Abstract	0	Chicago	exact	Ron Huberman is an American private equity manager and entrepreneur. He moved to the private sector following almost two decades in public service for the city of Chicago	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=word&char=163,170
22	Ron Huberman	CityOfResidence	Chicago	Section	2.1	Chicago Police Department	partial	Upon his graduation in 1994 from the University of Wisconsin-Madison, Huberman entered the Chicago Police Academy and began his career in public service. He was initially assigned as a patrol officer in Chicago's Rogers Park neighborhood, and also served as a bicycle officer and as a tactical gang team officer. In partnership with the Illinois State Police, Huberman created and implemented the department’s Citizen and Law Enforcement Analysis and Reporting (CLEAR) system, a unique and progressive technology-based criminal data and intelligence gathering system. In 1995, Huberman was promoted to Assistant Deputy Superintendent, becoming one of the youngest officers to reach exempt rank in the history of the Chicago Police Department	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=2440,2465
22	Ron Huberman	CityOfResidence	Chicago	Section	2.4	Chicago Transit Authority	partial	Following his role as Chief of Staff, Huberman was named by Mayor Daley to be President of the Chicago Transit Authority	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=5990,6015
22	Ron Huberman	CityOfResidence	Chicago	Section	1	Chicago Police Department	partial	Born in Tel Aviv, Israel, in 1971, Huberman is the son of Holocaust survivors. He and his family moved to Oak Ridge, Tenn., when his father, a cancer researcher, began working at the Oak Ridge National Laboratory. Huberman attended the University of Wisconsin-Madison, graduating with a Bachelor’s Degree in psychology and English in 1994. After graduation, he joined the Chicago Police Department	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=1089,1114
22	Ron Huberman	CityOfResidence	Chicago	Section	1	University of Chicago	partial	Born in Tel Aviv, Israel, in 1971, Huberman is the son of Holocaust survivors. He and his family moved to Oak Ridge, Tenn., when his father, a cancer researcher, began working at the Oak Ridge National Laboratory. Huberman attended the University of Wisconsin-Madison, graduating with a Bachelor’s Degree in psychology and English in 1994. After graduation, he joined the Chicago Police Department where he initially served as a beat officer. While working full-time as a Chicago police officer, Huberman attended night classes at the University of Chicago	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=1252,1273
22	Ron Huberman	CityOfResidence	Chicago	Section	3	Chicago Rush Medical Center	partial	In January 2011, Huberman joined Prairie Capital, a private equity firm with more than $2 billion under management. Huberman also founded and chairs Teacher Match, a first-of-its-kind company that delivers on-line predictive hiring tools for the elementary and secondary schools and which utilizes a broad range of data sources to build its product. He is a trustee of the Chicago Rush Medical Center	http://nif.dbpedia.org/wiki/en/Ron_Huberman?dbpv=2016-10&nif=phrase&char=13763,13790
23	Kurt Schaefer	CityOfResidence	Columbia, Missouri	Section	5	Columbia, Missouri	exact	He and his wife Stacia have three children: Maximilian, Wolfgang, and Lena, and live in Columbia, Missouri	http://nif.dbpedia.org/wiki/en/Kurt_Schaefer?dbpv=2016-10&nif=phrase&char=5707,5725
25	Alfred Kahl	CityOfResidence	Hamburg	Abstract	0	Hamburg Tropical Institute	partial	Kahl was born in the municipality of Warwerort, in the Dithmarschen district of Germany, a region of the country that includes the city of Hamburg. Official records show that he taught primary school in Hamburg, from 1897 to 1901, and that by 1934 he was teaching English, French and Natural History at a Gymnasium (High School) in Hamburg. Nothing else is known about his early life. His interest in ciliates began, according to his own account, when his daughter was studying under Dr. Eduard Reichenow, then head of the protozoa department at the Hamburg Tropical Institute	http://nif.dbpedia.org/wiki/en/Alfred_Kahl?dbpv=2016-10&nif=phrase&char=1135,1161
25	Alfred Kahl	CityOfResidence	Hamburg	Abstract	0	Hamburg	exact	Kahl was born in the municipality of Warwerort, in the Dithmarschen district of Germany, a region of the country that includes the city of Hamburg	http://nif.dbpedia.org/wiki/en/Alfred_Kahl?dbpv=2016-10&nif=word&char=724,731
26	Joanne Herring	CityOfResidence	Houston	Section	1	Houston	exact	Herring was born Joanne Johnson in Houston	http://nif.dbpedia.org/wiki/en/Joanne_Herring?dbpv=2016-10&nif=word&char=1538,1545
26	Joanne Herring	CityOfResidence	Houston	Section	8	"25 Most Beautiful Houstonians: Compassion and generosity make for a beautiful community"	partial	 *  Official website  *  "25 Most Beautiful Houstonians: Compassion and generosity make for a beautiful community"	http://nif.dbpedia.org/wiki/en/Joanne_Herring?dbpv=2016-10&nif=phrase&char=6485,6575
26	Joanne Herring	CityOfResidence	Houston	Section	4	Houston	exact	Over the years, Herring's influence on Zia and his military administration grew further, and President Zia became so enamoured with Joanne he would interrupt cabinet meetings to take her call. Said Foreign minister Yaqub Khan in his memoirs: "She absolutely had his ear, it was terrible!" President Zia neglected protocols and dismayed the Foreign Office when he appointed her his honorary consul at the Houston	http://nif.dbpedia.org/wiki/en/Joanne_Herring?dbpv=2016-10&nif=word&char=5348,5355
26	Joanne Herring	CityOfResidence	Houston	Abstract	0	Houston	exact	Joanne King Herring (born July 3, 1929) is an American socialite, businesswoman, political activist, philanthropist, diplomat, and former television talk show host. Hailing from Houston	http://nif.dbpedia.org/wiki/en/Joanne_Herring?dbpv=2016-10&nif=word&char=178,185
26	Joanne Herring	CityOfResidence	Houston	Abstract	0	Houston	exact	Joanne King Herring (born July 3, 1929) is an American socialite, businesswoman, political activist, philanthropist, diplomat, and former television talk show host. Hailing from Houston, Texas, she is best known for influencing policy through her long association and political relation with the President of Pakistan Zia-ul-Haq (1977–88). Herring also served as the honorary consul at the Consulate-General of Pakistan based in Houston	http://nif.dbpedia.org/wiki/en/Joanne_Herring?dbpv=2016-10&nif=word&char=429,436
27	Moinuddin Aqeel	CityOfResidence	Karachi	Abstract	0	University of Karachi	partial	Moinuddin Aqeel (Urdu: معین الدین عقیل) (b. 25 June 1946) is an author, critic being a scholar of Urdu literature and [from Pakistan, who served the University of Karachi	http://nif.dbpedia.org/wiki/en/Moinuddin_Aqeel?dbpv=2016-10&nif=phrase&char=149,170
30	John Carpenter	CityOfResidence	Los Angeles	Section	2.3	Los Angeles Times	partial	Starman (1984) was produced by Michael Douglas, the script was well received by Columbia Pictures, which chose it over the script for E.T. and prompted Steven Spielberg to go to Universal Pictures. Douglas chose Carpenter to be the director because of his reputation as an action director who could also convey strong emotion. Starman was favorably reviewed by the Los Angeles Times	http://nif.dbpedia.org/wiki/en/John_Carpenter?dbpv=2016-10&nif=phrase&char=11190,11207
31	Leonardo DiCaprio	CityOfResidence	Los Angeles	Section	1	Los Angeles Center for Enriched Studies	partial	DiCaprio's parents met while attending college and subsequently moved to Los Angeles. He was named Leonardo because his pregnant mother was looking at a Leonardo da Vinci painting in a museum in Italy when DiCaprio first kicked. His parents separated when he was a year old, and he lived mostly with his mother. The two lived in several Los Angeles neighborhoods, such as Echo Park, and at 1874 Hillhurst Avenue in the Los Feliz district (which was later converted into a local public library), while his mother worked several jobs to support them. He attended Seeds Elementary School (now UCLA Lab School) and John Marshall High School a few blocks away, after attending the Los Angeles Center for Enriched Studies	http://nif.dbpedia.org/wiki/en/Leonardo_DiCaprio?dbpv=2016-10&nif=phrase&char=3583,3622
31	Leonardo DiCaprio	CityOfResidence	Los Angeles	Section	3.2	Los Angeles Public Library	partial	In 1998, DiCaprio and his mother donated $35,000 for a "Leonardo DiCaprio Computer Center" at the Los Feliz branch of the Los Angeles Public Library	http://nif.dbpedia.org/wiki/en/Leonardo_DiCaprio?dbpv=2016-10&nif=phrase&char=27926,27952
31	Leonardo DiCaprio	CityOfResidence	Los Angeles	Section	3	Los Angeles, California	partial	DiCaprio owns a home in Los Angeles, California	http://nif.dbpedia.org/wiki/en/Leonardo_DiCaprio?dbpv=2016-10&nif=phrase&char=22577,22600
32	Majel Barrett	CityOfResidence	Los Angeles	Section	1.5	Los Angeles	exact	A public funeral was held on January 4, 2009, in Los Angeles	http://nif.dbpedia.org/wiki/en/Majel_Barrett?dbpv=2016-10&nif=phrase&char=9359,9370
32	Majel Barrett	CityOfResidence	Los Angeles	Section	3	Los Angeles Times	partial	 *  Majel Barrett at the Internet Movie Database  *  Majel Barrett at AllMovie  *  Majel Barrett-Roddenberry at Memory Alpha (a Star Trek wiki)  *  AP Obituary in the Los Angeles Times	http://nif.dbpedia.org/wiki/en/Majel_Barrett?dbpv=2016-10&nif=phrase&char=11156,11173
32	Majel Barrett	CityOfResidence	Los Angeles	Section	1.5	Bel Air, Los Angeles	partial	Barrett-Roddenberry died on the morning of December 18, 2008, at her home in Bel Air, Los Angeles	http://nif.dbpedia.org/wiki/en/Majel_Barrett?dbpv=2016-10&nif=phrase&char=9229,9249
34	Tim Curry	CityOfResidence	Los Angeles	Abstract	0	Los Angeles	exact	Timothy James "Tim" Curry (born 19 April 1946) is an English actor, voice actor and singer, known for his work in a diverse range of theatre, film and television productions, often portraying villainous roles or character parts. Curry first rose to prominence with his portrayal of Dr Frank-N-Furter in the 1975 cult film The Rocky Horror Picture Show, reprising the role he had originated in the 1973 London and 1974 Los Angeles	http://nif.dbpedia.org/wiki/en/Tim_Curry?dbpv=2016-10&nif=phrase&char=418,429
34	Tim Curry	CityOfResidence	Los Angeles	Section	4	Los Angeles	exact	On 23 May 2013, Curry suffered a major stroke at his home in Los Angeles	http://nif.dbpedia.org/wiki/en/Tim_Curry?dbpv=2016-10&nif=phrase&char=15639,15650
36	Cheryl Tiegs	CityOfResidence	Los Angeles	Section	1	California State University, Los Angeles	partial	Tiegs was born in Breckenridge, Minnesota, U.S. to Phyllis and Theodore Tiegs, a funeral director. Along with her family, Tiegs moved to Alhambra, California, in 1952. As a senior at Alhambra High School, Tiegs posed for a swimsuit ad for bathing suit manufacturer Cole of California; the ad, which appeared in Seventeen, launched her career as a model. Although she enrolled as an English major at California State University, Los Angeles	http://nif.dbpedia.org/wiki/en/Cheryl_Tiegs?dbpv=2016-10&nif=phrase&char=755,795
37	Darren Levine	CityOfResidence	Los Angeles	Abstract	0	Los Angeles	exact	Darren R. Levine (born April 3, 1960 in Los Angeles	http://nif.dbpedia.org/wiki/en/Darren_Levine?dbpv=2016-10&nif=phrase&char=40,51
37	Darren Levine	CityOfResidence	Los Angeles	Abstract	0	Los Angeles County	partial	Darren R. Levine (born April 3, 1960 in Los Angeles, California, United States) is a martial artist, an entrepreneur, and a prosecutor for the Los Angeles County	http://nif.dbpedia.org/wiki/en/Darren_Levine?dbpv=2016-10&nif=phrase&char=143,161
39	Herman Maisel	CityOfResidence	Mobile, Alabama	Section	1	Mobile, Alabama	exact	Maisel was born to his immigrant parents I.B. and Rebecca Maisel on November 26, 1925. He grew up in the Grove of Mobile, Alabama	http://nif.dbpedia.org/wiki/en/Herman_Maisel?dbpv=2016-10&nif=phrase&char=325,340
42	Ankita Gaba	CityOfResidence	Mumbai	Section	1	Mumbai	exact	Ankita belongs from Mumbai	http://nif.dbpedia.org/wiki/en/Ankita_Gaba?dbpv=2016-10&nif=word&char=164,170
42	Ankita Gaba	CityOfResidence	Mumbai	Section	1	Wilson College, Mumbai	partial	Ankita belongs from Mumbai, she took her graduation in Business Management from Wilson College, Mumbai	http://nif.dbpedia.org/wiki/en/Ankita_Gaba?dbpv=2016-10&nif=phrase&char=224,246
42	Ankita Gaba	CityOfResidence	Mumbai	Section	2	Mumbai University	partial	In 2011, she founded Socialsamosa.com, a prime source of knowledge repository for thoughts, ideas and dialogues about social media scenario in India.The portal was sold to private investors for 2-3 crores in May 2015. She has been speaker and faculty for social media courses at various institutes under Mumbai University	http://nif.dbpedia.org/wiki/en/Ankita_Gaba?dbpv=2016-10&nif=phrase&char=1064,1081
43	Asin	CityOfResidence	Mumbai	Section	4	Mumbai	exact	Asin currently resides in Lokhandwala, Mumbai	http://nif.dbpedia.org/wiki/en/Asin?dbpv=2016-10&nif=word&char=12018,12024
43	Asin	CityOfResidence	Mumbai	Section	1	Mumbai	exact	Asin was born in Cochin (now Kochi) in Kerala to a Syro-Malabar Catholic Nasrani family. Her father Joseph Thottumkal is an Ex-CBI officer and later managed several businesses. Her mother Seline Thottumkal, who moved settlements from Kochi to Chennai to Mumbai	http://nif.dbpedia.org/wiki/en/Asin?dbpv=2016-10&nif=word&char=2723,2729
44	Jamshyd Godrej	CityOfResidence	Mumbai	Section	4	Mumbai	exact	Godrej is on the boards of the World Resources Institute and Aspen Institute; in 2012, Forbes magazine named him one of the richest green billionaires on the basis of the valuable mangrove swamps the Godrej family has owned and preserved in Vikhroli, Mumbai	http://nif.dbpedia.org/wiki/en/Jamshyd_Godrej?dbpv=2016-10&nif=word&char=1481,1487
