49	Ganesh Ghosh	PartyAfiiliation	Communist Party of India	Section	1	Communist Party of India	exact	After the trial, Ganesh Ghosh was deported to the Cellular Jail in Port Blair in 1932. After the release from jail in 1946, he joined communist politics and became a member of the Communist Party of India. After the independence, he became a leader of the party. After the split in Communist Party of India	http://nif.dbpedia.org/wiki/en/Ganesh_Ghosh?dbpv=2016-10&nif=phrase&char=736,760
52	Jagdish Tytler	PartyAfiiliation	Indian National Congress	Section	2	Indian National Congress	exact	On April, 2004 the Indian National Congress	http://nif.dbpedia.org/wiki/en/Jagdish_Tytler?dbpv=2016-10&nif=phrase&char=2299,2323
52	Jagdish Tytler	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Jagdish Tytler (b. 11 January 1944 as Jagdish Singh Kapoor) is an Indian National Congress	http://nif.dbpedia.org/wiki/en/Jagdish_Tytler?dbpv=2016-10&nif=phrase&char=66,90
52	Jagdish Tytler	PartyAfiiliation	Indian National Congress	Section	2.2	Indian National Congress	exact	India's Central Bureau of Investigation (CBI) closed all cases against Jagdish Tytler in November 2007 for his alleged criminal conspiracy to engineer riots against Sikhs in the aftermath of Indira Gandhi’s assassination on 31 October 1984. CBI submitted a report to the Delhi court which stated that no evidence or witness was found to corroborate the allegations against Tytler of leading murderous mobs during 1984 It was also alleged in the court that then member of the Indian Parliament Jagdish Tytler was complaining to his supporters about relatively "small" number of sikhs killed in his parliamentary constituency Delhi Sadar, which in his opinion had undermined his position in the ruling Indian National Congress	http://nif.dbpedia.org/wiki/en/Jagdish_Tytler?dbpv=2016-10&nif=phrase&char=4529,4553
53	K. Raman	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	K. Raman was an Indian politician and former Member of the Legislative Assembly of Tamil Nadu. He was elected to the Tamil Nadu legislative assembly as an Indian National Congress	http://nif.dbpedia.org/wiki/en/K._Raman?dbpv=2016-10&nif=phrase&char=155,179
54	Laxmi Raman Acharya	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Laxmi Raman Acharya was born on 2 November 1914 in Alwar, Rajasthan. His father Rewati Raman Acharya was Revenue Minister in the Princely State of Alwar but later revolted against the King and Joined Indian National Congress	http://nif.dbpedia.org/wiki/en/Laxmi_Raman_Acharya?dbpv=2016-10&nif=phrase&char=200,224
55	P. V. Narasimha Rao	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Rao's term as Prime Minister was an eventful one in India's history. Besides marking a paradigm shift from the industrialising, mixed economic model of Jawaharlal Nehru to a market driven one, his years as Prime Minister also saw the emergence of the Bharatiya Janata Party (BJP), a major right-wing party, as an alternative to the Indian National Congress	http://nif.dbpedia.org/wiki/en/P._V._Narasimha_Rao?dbpv=2016-10&nif=phrase&char=2459,2483
55	P. V. Narasimha Rao	PartyAfiiliation	Indian National Congress	Section	2	Indian National Congress	exact	Narasimha Rao was an active freedom fighter during the Indian Independence movement and joined full-time politics after independence as a member of the Indian National Congress	http://nif.dbpedia.org/wiki/en/P._V._Narasimha_Rao?dbpv=2016-10&nif=phrase&char=4894,4918
56	Abul Kalam Azad	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	As a young man, Azad composed poetry in Urdu language, as well as treatises on religion and philosophy. He rose to prominence through his work as a journalist, publishing works critical of the British Raj and espousing the causes of Indian nationalism. Azad became the leader of the Khilafat Movement, during which he came into close contact with the Indian leader Mahatma Gandhi. Azad became an enthusiastic supporter of Gandhi's ideas of non-violent civil disobedience, and worked to organise the non-co-operation movement in protest of the 1919 Rowlatt Acts. Azad committed himself to Gandhi's ideals, including promoting Swadeshi (indigenous) products and the cause of Swaraj (Self-rule) for India. In 1923, at an age of 35, he became the youngest person to serve as the President of the Indian National Congress	http://nif.dbpedia.org/wiki/en/Abul_Kalam_Azad?dbpv=2016-10&nif=phrase&char=1438,1462
57	Ashok Kumar (Indian politician)	PartyAfiiliation	Indian National Congress	Section	1	Indian National Congress	exact	Dr. Ashok Kumar entered politics in 1985, when he contested and won from Singhia constituency as an Indian National Congress	http://nif.dbpedia.org/wiki/en/Ashok_Kumar_(Indian_politician)?dbpv=2016-10&nif=phrase&char=451,475
57	Ashok Kumar (Indian politician)	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Dr. Ashok Kumar (Hindi: अशोक कुमार, born 08 December 1948) is an Indian politician. His political party is the Indian National Congress	http://nif.dbpedia.org/wiki/en/Ashok_Kumar_(Indian_politician)?dbpv=2016-10&nif=phrase&char=111,135
59	Beant Singh (chief minister)	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Beant Singh (19 February 1922 - 31 August 1995) was an Indian politician and the Chief Minister of Punjab from 1992 to 1995. He was a member of Indian National Congress	http://nif.dbpedia.org/wiki/en/Beant_Singh_(chief_minister)?dbpv=2016-10&nif=phrase&char=144,168
60	Bidhan Chandra Roy	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Bidhan Chandra Roy, MRCP, FRCS (Bengali: বিধান চন্দ্র রায; 1 July 1882 – 1 July 1962) was the second Chief Minister of West Bengal in India. He remained in his post for 14 years as an Indian National Congress	http://nif.dbpedia.org/wiki/en/Bidhan_Chandra_Roy?dbpv=2016-10&nif=phrase&char=184,208
61	Harish Rawat	PartyAfiiliation	Indian National Congress	Abstract	0	Indian National Congress	exact	Harish Chandra Singh Rawat (born 27 April 1948) is an Indian politician who has been Chief Minister of Uttarakhand since 2016. Previously he served as Chief Minister from 2014 to 2016. A five-time Member of Parliament, Rawat is a leader of the Indian National Congress	http://nif.dbpedia.org/wiki/en/Harish_Rawat?dbpv=2016-10&nif=phrase&char=244,268
62	Antonio Maccanico	PartyAfiiliation	Italian Republican Party	Section	2	the Italian Republican Party	partial	He was appointed minister of regional affairs and institutional problems on 13 April 1988 and was in office until 13 April 1991. However, no significant institutional reforms were developed during his tenure. He was elected senator on 6 April 1992 for the Italian Republican Party	http://nif.dbpedia.org/wiki/en/Antonio_Maccanico?dbpv=2016-10&nif=phrase&char=1007,1035
64	Graham Quirk	PartyAfiiliation	Liberal National Party of Queensland	Abstract	0	Liberal National Party of Queensland	exact	Graham Quirk is an Australian politician and the Lord Mayor of the City of Brisbane, succeeding former Lord Mayor Campbell Newman when Newman became the Premier of Queensland. Quirk has served as councillor for the ward of MacGregor in Brisbane. Quirk, formerly a member of the Liberal Party of Australia, is a member of the Liberal National Party of Queensland	http://nif.dbpedia.org/wiki/en/Graham_Quirk?dbpv=2016-10&nif=phrase&char=325,361
65	Vicente Fox	PartyAfiiliation	National Action Party 	Section	7	National Action Party (Mexico)	partial	 * List of presidents of Mexico  * National Action Party (Mexico)	http://nif.dbpedia.org/wiki/en/Vicente_Fox?dbpv=2016-10&nif=phrase&char=24315,24345
68	Hosni Mubarak	PartyAfiiliation	National Democratic Party 	Section	3	National Democratic Party (NDP)	partial	Mubarak was injured during the assassination of President Sadat in October 1981 by soldiers led by Lieutenant Khalid Islambouli. Following Sadat's death, Mubarak became the fourth president of Egypt and the chairman of the National Democratic Party (NDP)	http://nif.dbpedia.org/wiki/en/Hosni_Mubarak?dbpv=2016-10&nif=phrase&char=7051,7082
72	Henry Clay	PartyAfiiliation	National Republican Party	Abstract	0	National Republican Party	exact	Clay returned to the Senate in 1831. He continued to advocate his American System, and become a leader of the opposition to President Andrew Jackson and his Democratic Party. President Jackson opposed federally-subsidized internal improvements and a national bank as a threat to states' rights, and the president used his veto power to defeat many of Clay's proposals. In 1832, Clay ran for president as a candidate of the National Republican Party	http://nif.dbpedia.org/wiki/en/Henry_Clay?dbpv=2016-10&nif=phrase&char=2409,2434
73	James H. Aitchison	PartyAfiiliation	Nova Scotia New Democratic Party	Abstract	0	Nova Scotia New Democratic Party	exact	James Hermiston Aitchison (1908 in Innerleithen, Scotland – 12 July 1994 in Halifax, Nova Scotia, Canada) was a Canadian academic and politician and leader of the Nova Scotia New Democratic Party	http://nif.dbpedia.org/wiki/en/James_H._Aitchison?dbpv=2016-10&nif=phrase&char=163,195
75	Alexandre Cloutier	PartyAfiiliation	Parti Québécois	Abstract	0	Parti Québécois	exact	Alexandre Cloutier (born September 1, 1977 in Chicoutimi, Quebec) is a Quebec politician and lawyer. He is the current Member of National Assembly of Quebec for the riding of Lac-Saint-Jean in the Saguenay–Lac-Saint-Jean region. He represents the Parti Québécois	http://nif.dbpedia.org/wiki/en/Alexandre_Cloutier?dbpv=2016-10&nif=phrase&char=247,262
77	Bill Skate	PartyAfiiliation	People's National Congress Party	Section	1	People's National Congress Party	exact	Skate served as governor of the National Capital District from 1995 to 1997. He was Prime Minister from 1997 to 1999 and resigned after 18 months, fearing that he would lose a challenge. In 2002, his political party the People's National Congress Party	http://nif.dbpedia.org/wiki/en/Bill_Skate?dbpv=2016-10&nif=phrase&char=787,819
80	Fernando Martín García	PartyAfiiliation	Puerto Rican Independence Party	Section	2	Puerto Rican Independence Party	exact	Martín García was candidate for Governor of Puerto Rico for the Puerto Rican Independence Party	http://nif.dbpedia.org/wiki/en/Fernando_Martín_García?dbpv=2016-10&nif=phrase&char=803,834
83	Basil Rajapaksa	PartyAfiiliation	Sri Lanka Freedom Party	Abstract	0	Sri Lanka Freedom Party	exact	Basil Rohana Rajapaksa (known as Basil Rajapaksa) is a Sri Lankan politician and a member of parliament for the Gampaha District. He was the previous National Organizer of Sri Lanka Freedom Party	http://nif.dbpedia.org/wiki/en/Basil_Rajapaksa?dbpv=2016-10&nif=phrase&char=172,195
85	D. A. Rajapaksa	PartyAfiiliation	Sri Lanka Freedom Party	Abstract	0	Sri Lanka Freedom Party	exact	Don Alwin Rajapaksa (Sinhalese: දොන් අල්වින් රාජපක්ෂ; Tamil: டி.ஏ. ராஜபக்ஷ) (5 November 1906 – 7 November 1967) (known as D. A. Rajapaksa) was a Sri Lankan politician and Member of Parliament, who represented the Beliatta electorate in Hambantota district from 1947 to 1965. A founding member of Sri Lanka Freedom Party	http://nif.dbpedia.org/wiki/en/D._A._Rajapaksa?dbpv=2016-10&nif=phrase&char=296,319
87	Enoch Powell	PartyAfiiliation	Ulster Unionist Party	Abstract	0	Ulster Unionist Party	exact	John Enoch Powell, MBE (/ˈdʒɒn ˈiːnɒk paʊl/; 16 June 1912 – 8 February 1998) was a British politician, classical scholar, linguist, and poet. He served as a Conservative Member of Parliament (MP, 1950–74), Ulster Unionist Party	http://nif.dbpedia.org/wiki/en/Enoch_Powell?dbpv=2016-10&nif=phrase&char=206,227
88	Clifford Forsythe	PartyAfiiliation	Ulster Unionist Party	Abstract	0	Ulster Unionist Party	exact	Clifford Forsythe (25 August 1929 – 27 April 2000) was a Northern Ireland Ulster Unionist Party	http://nif.dbpedia.org/wiki/en/Clifford_Forsythe?dbpv=2016-10&nif=phrase&char=74,95
92	Martinho Ndafa Kabi	PartyAfiiliation	African Party for the Independence of Guinea and Cape Verde	Abstract	0	African Party for the Independence of Guinea and Cape Verde	exact	Martinho Ndafa Kabi (born September 17, 1957) was the Prime Minister of Guinea-Bissau from 13 April 2007 to 5 August 2008. He is a leading member of the African Party for the Independence of Guinea and Cape Verde	http://nif.dbpedia.org/wiki/en/Martinho_Ndafa_Kabi?dbpv=2016-10&nif=phrase&char=153,212
93	Jan Krzysztof Bielecki	PartyAfiiliation	Liberal Democratic Congress	Section	5	Liberal Democratic Congress	exact	Deeply frustrated by economic hardships brought on by privatization, voters punished the Suchocka government in the September 1993 parliamentary election, with Bielecki's Liberal Democratic Congress losing the entirety of its seats in the Sejm. After the severe defeat, Bielecki was appointed to the Board of Directors of the European Bank for Reconstruction and Development (EBRD) in December, where he remained until September 2003. In 1994, Bielecki co-founded the Freedom Union, a centrist pro-European Union party through the unification of the Democratic Union and the Liberal Democratic Congress	http://nif.dbpedia.org/wiki/en/Jan_Krzysztof_Bielecki?dbpv=2016-10&nif=phrase&char=14599,14626
93	Jan Krzysztof Bielecki	PartyAfiiliation	Liberal Democratic Congress	Section	2	Liberal Democratic Congress	exact	During the splintering of the Solidarity Citizens' Movement throughout 1990, Bielecki and other Gdańsk intellectuals increasingly favored a liberal approach to reform the Polish economy. Congress Liberal members, including Bielecki, voted to create the Liberal Democratic Congress	http://nif.dbpedia.org/wiki/en/Jan_Krzysztof_Bielecki?dbpv=2016-10&nif=phrase&char=5186,5213
93	Jan Krzysztof Bielecki	PartyAfiiliation	Liberal Democratic Congress	Abstract	0	Liberal Democratic Congress	exact	Jan Krzysztof Bielecki ['jan ˈkʂɨʂtɔf bʲɛˈlɛt͡skʲi] (13px listen) (born 3 May 1951) is a Polish liberal politician and economist. A leading figure of the Gdańsk-based Liberal Democratic Congress	http://nif.dbpedia.org/wiki/en/Jan_Krzysztof_Bielecki?dbpv=2016-10&nif=phrase&char=167,194
94	Marcus Licinius Crassus	PartyAfiiliation	Optimates	Abstract	0	optimates	exact	Crassus' death permanently unraveled the alliance between Caesar and Pompey. Within four years of Crassus' death, Caesar would cross the Rubicon and begin a civil war against Pompey and the optimates	http://nif.dbpedia.org/wiki/en/Marcus_Licinius_Crassus?dbpv=2016-10&nif=word&char=1824,1833
95	Thabo Mbeki	PartyAfiiliation	African National Congress	Section	12	African National Congress	exact	Nathi Mthethwa, Chief Whip of the ruling African National Congress	http://nif.dbpedia.org/wiki/en/Thabo_Mbeki?dbpv=2016-10&nif=phrase&char=62994,63019
95	Thabo Mbeki	PartyAfiiliation	African National Congress	Section	1	African National Congress	exact	Born and raised in Mbewuleni, Cape Province, Union of South Africa, Mbeki is one of four children of Epainette and Govan Mbeki. The economist Moeletsi Mbeki is one of his brothers. His father was a stalwart of the African National Congress	http://nif.dbpedia.org/wiki/en/Thabo_Mbeki?dbpv=2016-10&nif=phrase&char=3213,3238
96	Cheryl Kernot	PartyAfiiliation	Australian Democrats	Abstract	0	Australian Democrats	exact	Cheryl Kernot (née Paton; born 5 December 1948) is an Australian politician, academic, and political activist. She was a member of the Australian Senate representing Queensland for the Australian Democrats	http://nif.dbpedia.org/wiki/en/Cheryl_Kernot?dbpv=2016-10&nif=phrase&char=185,205
98	Clare Martin	PartyAfiiliation	Australian Labor Party	Section	3	Australian Labor Party	exact	Martin had been interested in political journalism for some years, although she was not a member of any party, believing that party affiliation compromises journalistic integrity. In 1994, she was approached to contest the Darwin Legislative Assembly seat of Casuarina for the Australian Labor Party	http://nif.dbpedia.org/wiki/en/Clare_Martin?dbpv=2016-10&nif=phrase&char=2807,2829
98	Clare Martin	PartyAfiiliation	Australian Labor Party	Abstract	0	Australian Labor Party	exact	Clare Majella Martin (born 15 June 1952) is a former Australian journalist and politician. She was elected to the Northern Territory Legislative Assembly in a shock by-election win in 1995. She was appointed Opposition Leader in 1999, and won a surprise victory at the 2001 territory election, becoming the first Australian Labor Party	http://nif.dbpedia.org/wiki/en/Clare_Martin?dbpv=2016-10&nif=phrase&char=313,335
99	Joseph Lyons	PartyAfiiliation	Australian Labor Party	Section	1	Australian Labor Party	exact	Lyons was born in Stanley, Tasmania, the grandson of Irish immigrants. His father, Michael Lyons, was a successful farmer who afterwards engaged in a butchery and bakery business, but lost this on account of bad health, and subsequently was forced to work as a labourer. His mother did much to keep the family of eight children together, but Joseph had to leave school at nine to work as a messenger and printer's devil. But with the assistance of two aunts, he was able to resume his education at the Philip Smith Teachers' Training College, Hobart, and became a teacher. He also became an active trade unionist and was an early member of the Australian Labor Party	http://nif.dbpedia.org/wiki/en/Joseph_Lyons?dbpv=2016-10&nif=phrase&char=2084,2106
100	Steve Bracks	PartyAfiiliation	Australian Labor Party	Abstract	0	Australian Labor Party	exact	Stephen Phillip "Steve" Bracks AC (born 15 October 1954) is a former Australian politician and the 44th Premier of Victoria. He first won the electoral district of Williamstown in 1994 for the Australian Labor Party	http://nif.dbpedia.org/wiki/en/Steve_Bracks?dbpv=2016-10&nif=phrase&char=193,215
100	Steve Bracks	PartyAfiiliation	Australian Labor Party	Section	2	Australian Labor Party	exact	From 1976 to 1981 Bracks was a school commerce teacher at Sacred Heart College, Ballarat. During the 1980s he worked in local government in Ballarat and then as Executive Director of the Ballarat Education Centre. While in these positions he twice (1985 and 1988) contested the seat of Ballarat North in the Victorian Legislative Assembly for the Australian Labor Party	http://nif.dbpedia.org/wiki/en/Steve_Bracks?dbpv=2016-10&nif=phrase&char=1742,1764
101	Jean Melzer	PartyAfiiliation	Australian Labor Party	Abstract	0	Australian Labor Party	exact	Jean Isabel Melzer (7 February 1926 – 18 June 2013) was an Australian Senator representing the Australian Labor Party	http://nif.dbpedia.org/wiki/en/Jean_Melzer?dbpv=2016-10&nif=phrase&char=95,117
