Id	S	P	O	Found In	Section	Anchor	Kind of match	Text Segment	Anchor-URI
19	Louis XVI of France	Spouse	Marie Antoinette	Section	7.1	Marie Antoinette	exact	King Louis XVI has been portrayed in numerous films. In Marie Antoinette (1938), he was played by Robert Morley. Jean-François Balmer portrayed him in the 1989 two-part miniseries La Révolution française. More recently, he was depicted in the 2006 film Marie Antoinette	http://nif.dbpedia.org/wiki/en/Louis_XVI_of_France?dbpv=2016-10&nif=phrase&char=38817,38833
19	Louis XVI of France	Spouse	Marie Antoinette	Section	7.1	Marie Antoinette	exact	King Louis XVI has been portrayed in numerous films. In Marie Antoinette	http://nif.dbpedia.org/wiki/en/Louis_XVI_of_France?dbpv=2016-10&nif=phrase&char=38620,38636
19	Louis XVI of France	Spouse	Marie Antoinette	Abstract	0	Marie Antoinette	exact	The ensuing debt and financial crisis contributed to the unpopularity of the Ancien Régime which culminated at the Estates-General of 1789. Discontent among the members of France's middle and lower classes resulted in strengthened opposition to the French aristocracy and to the absolute monarchy, of which Louis and his wife, queen Marie Antoinette	http://nif.dbpedia.org/wiki/en/Louis_XVI_of_France?dbpv=2016-10&nif=phrase&char=1541,1557
20	Dennis Quaid	Spouse	Meg Ryan	Section	4.1	Meg Ryan	exact	On February 14, 1991, Quaid married actress Meg Ryan	http://nif.dbpedia.org/wiki/en/Dennis_Quaid?dbpv=2016-10&nif=phrase&char=3811,3819
22	Catherine I of Russia	Spouse	Peter the Great	Section	1	Peter the Great of Russia	partial	Afterwards she became part of the household of Prince Alexander Menshikov, who was the best friend of Peter the Great of Russia	http://nif.dbpedia.org/wiki/en/Catherine_I_of_Russia?dbpv=2016-10&nif=phrase&char=2791,2816
22	Catherine I of Russia	Spouse	Peter the Great	Abstract	0	Peter the Great	exact	Catherine I (Russian: Екатери́на I Алексе́евна, tr. Yekaterina I Alekseyevna, born Polish: Marta Helena Skowrońska, later known as Marta Samuilovna Skavronskaya; 15 April [O.S. 5 April] 1684 – 17 May [O.S. 6 May] 1727) was the second wife of Peter the Great	http://nif.dbpedia.org/wiki/en/Catherine_I_of_Russia?dbpv=2016-10&nif=phrase&char=242,257
23	Elizabeth Taylor	Spouse	Richard Burton	Section	4.1	Richard Burton	exact	While filming Cleopatra in Italy in 1962, Taylor began an affair with her co-star, Welsh actor Richard Burton	http://nif.dbpedia.org/wiki/en/Elizabeth_Taylor?dbpv=2016-10&nif=phrase&char=42295,42309
23	Elizabeth Taylor	Spouse	Richard Burton	Section	2.6	Richard Burton	exact	After completing her MGM contract, Taylor starred in 20th Century-Fox's Cleopatra (1963)—a historical epic which, according to film historian Alexander Doty, made her more famous than ever before. She became the first actress to be paid $1 million for a role; Fox also granted her ten per cent of the film's profits as well as shooting the film in Todd-AO, a widescreen format for which she had inherited the rights from Mike Todd. The film's production—characterized by costly sets and costumes, constant delays, and a scandal caused by Taylor's extramarital affair with her co-star Richard Burton	http://nif.dbpedia.org/wiki/en/Elizabeth_Taylor?dbpv=2016-10&nif=phrase&char=21288,21302
23	Elizabeth Taylor	Spouse	Richard Burton	Abstract	0	Richard Burton	exact	Despite being one of MGM's most bankable stars, Taylor wished to end her career in the early 1950s, as she resented the studio's control and disliked many of the films she was assigned to. She began receiving better roles in the mid-1950s, beginning with the epic drama Giant (1956), and starred in several critically and commercially successful films in the following years. These included two film adaptations of plays by Tennessee Williams, Cat on a Hot Tin Roof (1958) and Suddenly, Last Summer (1959); Taylor won a Golden Globe for Best Actress for the latter. Although she disliked her role in BUtterfield 8 (1960), her last film for MGM, she won the Academy Award for Best Actress for her performance. She was next paid a record-breaking $1 million to play the title role in the historical epic Cleopatra (1963), the most expensive film made up to that point. During the filming, Taylor and co-star Richard Burton	http://nif.dbpedia.org/wiki/en/Elizabeth_Taylor?dbpv=2016-10&nif=phrase&char=2053,2067
24	Ingrid Bergman	Spouse	Roberto Rossellini	Section	5	Roberto Rossellini	exact	Bergman returned to Europe after the scandalous publicity surrounding her affair with Italian director Roberto Rossellini	http://nif.dbpedia.org/wiki/en/Ingrid_Bergman?dbpv=2016-10&nif=phrase&char=23206,23224
24	Ingrid Bergman	Spouse	Roberto Rossellini	Section	2.6	Roberto Rossellini	exact	Bergman received another Best Actress nomination for Joan of Arc (1948), an independent film based on the Maxwell Anderson play Joan of Lorraine, produced by Walter Wanger, and initially released through RKO. Bergman had championed the role since her arrival in Hollywood, which was one of the reasons she had played it on the Broadway stage in Anderson's play. The film was not a big hit with the public, partly because of the scandal of Bergman's affair with Italian film director Roberto Rossellini	http://nif.dbpedia.org/wiki/en/Ingrid_Bergman?dbpv=2016-10&nif=phrase&char=11896,11914
24	Ingrid Bergman	Spouse	Roberto Rossellini	Abstract	0	Roberto Rossellini	exact	After a decade in American films, she starred in Roberto Rossellini	http://nif.dbpedia.org/wiki/en/Ingrid_Bergman?dbpv=2016-10&nif=phrase&char=1400,1418
24	Ingrid Bergman	Spouse	Roberto Rossellini	Section	3	Roberto Rossellini	exact	Bergman strongly admired two films by Italian director Roberto Rossellini	http://nif.dbpedia.org/wiki/en/Ingrid_Bergman?dbpv=2016-10&nif=phrase&char=12857,12875
25	Padma Lakshmi	Spouse	Salman Rushdie	Section	3	Salman Rushdie	exact	On April 17, 2004, Lakshmi married the novelist Salman Rushdie	http://nif.dbpedia.org/wiki/en/Padma_Lakshmi?dbpv=2016-10&nif=phrase&char=7395,7409
26	Christopher Lambert	Spouse	Sophie Marceau	Section	3	Sophie Marceau	exact	Lambert married Jaiymse Haft on 6 February 1999 but that union was dissolved. Since 2007, he had been in a relationship with Sophie Marceau	http://nif.dbpedia.org/wiki/en/Christopher_Lambert?dbpv=2016-10&nif=phrase&char=3769,3783
27	Ted Hughes	Spouse	Sylvia Plath	Abstract	0	Sylvia Plath	exact	Hughes was married to American poet Sylvia Plath	http://nif.dbpedia.org/wiki/en/Ted_Hughes?dbpv=2016-10&nif=phrase&char=322,334
27	Ted Hughes	Spouse	Sylvia Plath	Section	1.2	Sylvia Plath	exact	After university, living in London and Cambridge, Hughes went on to have many varied jobs including working as a rose gardener, a nightwatchman and a reader for the British film company J. Arthur Rank. He worked in a local zoo, a post that offered plentiful opportunities to observe animals at close quarters. On 25 February 1956, Hughes and his friends held a party to launch St. Botolph's Review, which had a single issue. In it Hughes had four poems. At the party he met the American poet Sylvia Plath	http://nif.dbpedia.org/wiki/en/Ted_Hughes?dbpv=2016-10&nif=phrase&char=5710,5722
27	Ted Hughes	Spouse	Sylvia Plath	Section	8	Ted Hughes and Sylvia Plath collection	partial	 *  Ted Hughes Society website  *  Drue Heinz (Spring 1995). "Ted Hughes, The Art of Poetry No. 71". The Paris Review.  *  British Library – modern British Collections on Ted Hughes. Retrieved: 22 February 2010  *  Ted Hughes archive at Emory University. Retrieved: 9 March 2012  *  Ted Hughes and Sylvia Plath collection	http://nif.dbpedia.org/wiki/en/Ted_Hughes?dbpv=2016-10&nif=phrase&char=35083,35122
27	Ted Hughes	Spouse	Sylvia Plath	Section	4.3	Sylvia Plath	exact	 *  Selected Poems of Emily Dickinson  *  Selected Poems of Sylvia Plath	http://nif.dbpedia.org/wiki/en/Ted_Hughes?dbpv=2016-10&nif=phrase&char=28404,28416
28	Sylvia Plath	Spouse	Ted Hughes	Section	1.3	Ted Hughes	exact	Plath first met poet Ted Hughes	http://nif.dbpedia.org/wiki/en/Sylvia_Plath?dbpv=2016-10&nif=phrase&char=5780,5790
28	Sylvia Plath	Spouse	Ted Hughes	Section	12	Ted Hughes and Sylvia Plath collection	partial	 * Sylvia Plath at DMOZ  *  Works by or about Sylvia Plath in libraries (WorldCat catalog)  *  Peter K. Steinberg's A celebration, this is  *  Ted Hughes and Sylvia Plath collection	http://nif.dbpedia.org/wiki/en/Sylvia_Plath?dbpv=2016-10&nif=phrase&char=35962,36001
28	Sylvia Plath	Spouse	Ted Hughes	Abstract	0	Ted Hughes	exact	Sylvia Plath (/plæθ/; October 27, 1932 – February 11, 1963) was one of the most renowned and influential poets, novelists, and short story writers of the 20th century. Born in Boston, she studied at Smith College and Newnham College at the University of Cambridge before receiving acclaim as a poet and writer. She was married to fellow poet Ted Hughes	http://nif.dbpedia.org/wiki/en/Sylvia_Plath?dbpv=2016-10&nif=phrase&char=342,352
29	Joanne Whalley	Spouse	Val Kilmer	Section	3	Val Kilmer	exact	Whalley met the American actor Val Kilmer	http://nif.dbpedia.org/wiki/en/Joanne_Whalley?dbpv=2016-10&nif=phrase&char=2614,2624
29	Joanne Whalley	Spouse	Val Kilmer	Section	4	Val Kilmer	exact	Whalley met the American actor Val Kilmer	http://nif.dbpedia.org/wiki/en/Joanne_Whalley?dbpv=2016-10&nif=phrase&char=4740,4750
29	Joanne Whalley	Spouse	Val Kilmer	Abstract	0	Val Kilmer	exact	Joanne Whalley (born 25 August 1961) is an English actress who began her career in 1974. She has since amassed numerous credits, primarily on television, but also in nearly 30 feature films, including Dance with a Stranger (1985), Willow (1988), Scandal (1989), The Secret Rapture (1993) and Mother's Boys (1994). Following her marriage to Val Kilmer	http://nif.dbpedia.org/wiki/en/Joanne_Whalley?dbpv=2016-10&nif=phrase&char=340,350
29	Joanne Whalley	Spouse	Val Kilmer	Section	3	Val Kilmer	exact	After divorce, Whalley returned to acting through making television films, including the 2000 television film Jackie Bouvier Kennedy Onassis in which she played the title character. She collaborated with the pop-punk band Blink-182 to read a letter at the beginning of the song "Stockholm Syndrome". In 2005, she appeared as Queen Mary I in The Virgin Queen, a BBC serial about the life of Queen Elizabeth I which also starred Anne-Marie Duff and Tara FitzGerald. The same year she also filmed Played which also starred her ex-husband Val Kilmer	http://nif.dbpedia.org/wiki/en/Joanne_Whalley?dbpv=2016-10&nif=phrase&char=3754,3764
30	Gwyneth Paltrow	Spouse	Chris Martin	Section	4	Chris Martin	exact	In October 2002, Paltrow met Chris Martin	http://nif.dbpedia.org/wiki/en/Gwyneth_Paltrow?dbpv=2016-10&nif=phrase&char=15295,15307
30	Gwyneth Paltrow	Spouse	Chris Martin	Abstract	0	Chris Martin	exact	Following relationships with Brad Pitt and Ben Affleck, Paltrow married Chris Martin	http://nif.dbpedia.org/wiki/en/Gwyneth_Paltrow?dbpv=2016-10&nif=phrase&char=1346,1358
31	Cyrille Bara	Spouse	Céline Bara	Section	2	Céline Bara	exact	Cyrille Bara is a virulent atheist and a radical anti-religious activist so on July 21, 2011, he founded a new communist political party that combined antitheist and queer politics, the Antitheist and Libertine Movement (MAL). He was the running mate of Céline Bara	http://nif.dbpedia.org/wiki/en/Cyrille_Bara?dbpv=2016-10&nif=phrase&char=1316,1327
31	Cyrille Bara	Spouse	Céline Bara	Section	1	Céline Bara	exact	Cyrille Bara was born in Argenteuil and grew up in banlieues of Paris. He is the husband of the French pornstar Céline Bara	http://nif.dbpedia.org/wiki/en/Cyrille_Bara?dbpv=2016-10&nif=phrase&char=222,233
32	Camille Flammarion	Spouse	Gabrielle Renaudot Flammarion	Section	2	Gabrielle Renaudot Flammarion	exact	Camille was a brother of Ernest Flammarion and Berthe Martin-Flammarion and uncle of a woman named Zelinda. His first wife was Sylvie Petiaux-Hugo Flammarion, and his second wife was Gabrielle Renaudot Flammarion	http://nif.dbpedia.org/wiki/en/Camille_Flammarion?dbpv=2016-10&nif=phrase&char=4882,4911
33	Minnie Maddern Fiske	Spouse	Harrison Grey Fiske	Section	6	Minnie Maddern Fiske and Harrison Grey Fiske papers, 1818-1955	partial	 * Minnie Maddern Fiske at the Internet Broadway Database  * Minnie Maddern Fiske at the Internet Movie Database  * Minnie Maddern Fiske and Harrison Grey Fiske papers, 1818-1955	http://nif.dbpedia.org/wiki/en/Minnie_Maddern_Fiske?dbpv=2016-10&nif=phrase&char=11847,11909
33	Minnie Maddern Fiske	Spouse	Harrison Grey Fiske	Section	3	Harrison Grey Fiske	exact	 *  Hunted Down by Dion Boucicault, New York (1871)  *  Fogg's Ferry by Charles Callahan, Wisconsin (1882)  *  Juanita by Charles Callahan, Illinois (1883)  *  Caprice by Howard P. Taylor, Missouri (1884)  *  In Spite of it All by Victorien Sardou, New York (1885)  *  Hester Crewe by Harrison Grey Fiske	http://nif.dbpedia.org/wiki/en/Minnie_Maddern_Fiske?dbpv=2016-10&nif=phrase&char=6607,6626
33	Minnie Maddern Fiske	Spouse	Harrison Grey Fiske	Section	1	Harrison Grey Fiske	exact	She performed her first professional show at the age of three as the Duke of York in Richard III. She debuted in New York as a four-year-old in the play A Sheep in Wolf's Clothing. She toured extensively as a child, and was educated in many convent schools. She was a child prodigy, touring and performing in numerous productions. According to the New York Times article "Ibsen or Shakespeare?" (March 18, 1928), Harrison Grey Fiske	http://nif.dbpedia.org/wiki/en/Minnie_Maddern_Fiske?dbpv=2016-10&nif=phrase&char=1149,1168
34	Val Kilmer	Spouse	Joanne Whalley	Section	5	Joanne Whalley	exact	Kilmer was married to actress Joanne Whalley	http://nif.dbpedia.org/wiki/en/Val_Kilmer?dbpv=2016-10&nif=phrase&char=17673,17687
34	Val Kilmer	Spouse	Joanne Whalley	Section	2.1	Joanne Whalley	exact	During a brief hiatus, he backpacked throughout Europe before going on to play the lead character in the 1985 comedy Real Genius. He turned down a role in David Lynch's Blue Velvet before being cast as naval aviator "Iceman" in the action film Top Gun alongside Tom Cruise. Top Gun grossed a total of $344,700,000 worldwide and made Kilmer a major star. Following roles in the television films The Murders in the Rue Morgue and The Man Who Broke 1,000 Chains, Kilmer played Madmartigan in the fantasy Willow; he met his future wife, co-star Joanne Whalley	http://nif.dbpedia.org/wiki/en/Val_Kilmer?dbpv=2016-10&nif=phrase&char=3761,3775
35	Elizabeth Woodville	Spouse	John Grey of Groby	Section	1	John Grey of Groby	exact	In about 1452, Elizabeth Woodville married Sir John Grey of Groby	http://nif.dbpedia.org/wiki/en/Elizabeth_Woodville?dbpv=2016-10&nif=phrase&char=4648,4666
35	Elizabeth Woodville	Spouse	John Grey of Groby	Abstract	0	John Grey of Groby	exact	Elizabeth Woodville (also spelled Wydville, Wydeville, or Widvile; c. 1437 – 8 June 1492) was Queen consort of England as the spouse of King Edward IV from 1464 until his death in 1483. At the time of her birth, her family was mid-ranked in the English aristocracy. Her first marriage was to a minor supporter of the House of Lancaster, Sir John Grey of Groby	http://nif.dbpedia.org/wiki/en/Elizabeth_Woodville?dbpv=2016-10&nif=phrase&char=341,359
36	Salman Rushdie	Spouse	Padma Lakshmi	Section	6	Padma Lakshmi	exact	Rushdie has been married four times. He was married to his first wife Clarissa Luard from 1976 to 1987 and fathered a son, Zafar (born 1979). He left her in the mid-'80s for the Australian writer Robyn Davidson, to whom he was introduced by their mutual friend Bruce Chatwin. His second wife was the American novelist Marianne Wiggins; they were married in 1988 and divorced in 1993. His third wife, from 1997 to 2004, was Elizabeth West; they have a son, Milan (born 1997). In 2004, he married the Indian American Padma Lakshmi	http://nif.dbpedia.org/wiki/en/Salman_Rushdie?dbpv=2016-10&nif=phrase&char=30698,30711
38	Benjamin Bratt	Spouse	Talisa Soto	Section	3	Talisa Soto	exact	In 1998, he began dating actress Julia Roberts. He escorted her to the 2001 Academy Awards ceremony, at which she won the Academy Award for Best Actress. Four months later, they announced that they were no longer a couple. In 2002, he (along with Priscilla López) received the Rita Moreno HOLA Award for Excellence from the Hispanic Organization of Latin Actors (HOLA). In 2002, he began dating and then married his pregnant girlfriend, actress Talisa Soto	http://nif.dbpedia.org/wiki/en/Benjamin_Bratt?dbpv=2016-10&nif=phrase&char=3787,3798
39	Candy Spelling	Spouse	Aaron Spelling	Section	2	Aaron Spelling	exact	She married producer and screenwriter Aaron Spelling	http://nif.dbpedia.org/wiki/en/Candy_Spelling?dbpv=2016-10&nif=phrase&char=442,456
39	Candy Spelling	Spouse	Aaron Spelling	Abstract	0	Aaron Spelling	exact	Carole Gene "Candy" Spelling (née Marer; born September 20, 1945) is an American author, television personality and philanthropist. She is the widow of Aaron Spelling	http://nif.dbpedia.org/wiki/en/Candy_Spelling?dbpv=2016-10&nif=phrase&char=152,166
40	Arlie Russell Hochschild	Spouse	Adam Hochschild	Section	2	Adam Hochschild	exact	Hochschild went on to create concepts which illuminate the power of emotion in social life. With her husband, writer Adam Hochschild	http://nif.dbpedia.org/wiki/en/Arlie_Russell_Hochschild?dbpv=2016-10&nif=phrase&char=3431,3446
41	Dorothy Dunnett	Spouse	Alastair Dunnett	Section	1	Sir Alastair Dunnett	partial	Dorothy Dunnett was married in 1946 to Sir Alastair Dunnett	http://nif.dbpedia.org/wiki/en/Dorothy_Dunnett?dbpv=2016-10&nif=phrase&char=2170,2190
