number of equals = 2951
number of contains = 176
notInAbstractList = 6906
Appoaches:
	Sbj-Obj = 2313
	Pronoun-Obj = 814
Extraction:
	In Sentence = 2969
	In Paragraph = 158
Blank Sentences = 7
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Contains	Abstract	In Sentence	Pronoun-Obj		Empress Maria Theresa	http://dbpedia.org/resource/Marie_Antoinette	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Maria_Theresa	(**she=Marie Antoinette**): She was born an Archduchess of Austria, was the fifteenth and second youngest child of Empress Maria Theresa	Marie Antoinette (/ˈmæriˌæntwəˈnɛt/, /ˌɑ̃ːntwə-/, /ˌɑ̃ːtwə-/, US /məˈriː-/; French: [maʁi ɑ̃twanɛt]; born Maria Antonia Josepha Johanna (2 November 1755 – 16 October 1793), was the last Queen of France prior to the French Revolution. She was born an Archduchess of Austria, was the fifteenth and second youngest child of Empress Maria Theresa and Francis I, Holy Roman Emperor. In April 1770, upon her marriage to Louis-Auguste, heir apparent to the French throne, she became Dauphine of France. On 10 May 1774, when her husband ascended the throne as Louis XVI, she became Queen of France and Navarre, a title she held until September 1791, when, as the French Revolution proceeded, she became Queen of the French, a title she held until 21 September 1792. After eight years of marriage, Marie Antoinette gave birth to a daughter, Marie-Thérèse Charlotte, the first of her four children. Despite her initial popularity, a growing number of the population eventually came to dislike her, accusing her of being profligate, promiscuous, and of harbouring sympathies for France's enemies, particularly her native Austria. The Diamond Necklace affair damaged her reputation further. During the Revolution, she became known as Madame Déficit because the country's financial crisis was blamed on her lavish spending and her opposition to the social and financial reforms of Turgot and Necker. During the Revolution, after the government had placed the royal family under house arrest in the Tuileries Palace in October 1789, several events linked to Marie Antoinette, in particular the June 1791 attempt to flee, and her role in the War of the First Coalition, had disastrous effects on French popular opinion. On 10 August 1792, the attack on the Tuileries forced the royal family to take refuge at the Assembly, and on 13 August the family was imprisoned in the Temple. On 21 September 1792, the monarchy was abolished. After a two-day trial begun on 14 October 1793, Marie Antoinette was convicted by the Revolutionary Tribunal of high treason, and executed by guillotine on Place de la Révolution on 16 October 1793.	
Equal	Abstract	In Sentence	Sbj-Obj		Philippa of Hainault	http://dbpedia.org/resource/John_of_Gaunt	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Philippa_of_Hainault	John of Gaunt, 1st Duke of Lancaster, KG (6 March 1340 – 3 February 1399) was a member of the House of Plantagenet, the third of four surviving sons of King Edward III of England and Philippa of Hainault	John of Gaunt, 1st Duke of Lancaster, KG (6 March 1340 – 3 February 1399) was a member of the House of Plantagenet, the third of four surviving sons of King Edward III of England and Philippa of Hainault. He was called "John of Gaunt" because he was born in Ghent, then rendered in English as Gaunt. When he became unpopular later in life, scurrilous rumours and lampoons circulated that he was actually the son of a Ghent butcher, perhaps because Edward III was not present at the birth. This story always drove him to fury. As a younger brother of Edward, Prince of Wales (Edward, the Black Prince), John exercised great influence over the English throne during the minority of Edward's son, who became King Richard II, and the ensuing periods of political strife. Due to some generous land grants, John was one of the richest men in his era. He made an abortive attempt to enforce a claim to the Crown of Castile that came courtesy of his second wife Constance, who was an heir to the Castillian Kingdom, and for a time styled himself as such. John of Gaunt's legitimate male heirs, the Lancasters, include Kings Henry IV, Henry V, and Henry VI. His other legitimate descendants include his daughters Queen Philippa of Portugal and Elizabeth, Duchess of Exeter (by his first wife Blanche of Lancaster), and Queen Catherine of Castile (by his second wife Constance of Castile). John fathered five children outside marriage, one early in life by a lady-in-waiting to his mother, and four by Katherine Swynford, Gaunt's long-term mistress and third wife. The children of Katherine Swynford, surnamed "Beaufort," were legitimised by royal and papal decrees after John and Katherine married in 1396. Descendants of this marriage include Joan Beaufort, Countess of Westmorland, a grandmother of Kings Edward IV and Richard III; John Beaufort, 1st Earl of Somerset, a great-grandfather of King Henry VII; and Joan Beaufort, Queen of Scots, from whom are descended all subsequent sovereigns of Scotland beginning in 1437 and all sovereigns of England, Great Britain and the United Kingdom from 1603 to the present day. The three houses of English sovereigns that succeeded the rule of Richard II in 1399 — the Houses of Lancaster, York and Tudor — were all descended from John's children Henry IV, Joan Beaufort and John Beaufort, respectively. In addition, John's daughter Catherine of Lancaster was married to King Henry III of Castile, which made him the grandfather of King John II of Castile and the ancestor of all subsequent monarchs of the Crown of Castile and united Spain. Through his daughter Philippa, he was grandfather of King Edward of Portugal and an ancestor of all subsequent Portuguese monarchs as well. Through John II of Castile's great-granddaughter Joanna the Mad, John of Gaunt is also an ancestor of the Habsburg rulers who would reign in Spain and much of central Europe. John of Gaunt's eldest son and heir, Henry Bolingbroke, Duke of Hereford, the son of his first wife Blanche of Lancaster, was exiled for ten years by King Richard II in 1398 as resolution to a dispute between Henry and Thomas de Mowbray, Duke of Norfolk. When John of Gaunt died in 1399, his estates and titles were declared forfeit to the crown, since King Richard II had named Henry a traitor and changed his sentence to exile for life. Henry Bolingbroke returned from exile to reclaim his inheritance and depose Richard. Bolingbroke then reigned as King Henry IV of England (1399–1413), the first of the descendants of John of Gaunt to hold the throne of England.	
Equal	Abstract	In Sentence	Pronoun-Obj		Ragnar Lodbrok	http://dbpedia.org/resource/Halfdan_Ragnarsson	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Ragnar_Lodbrok	(**he=Halfdan Ragnarsson**): he was one of the sons of Ragnar Lodbrok	Halfdan Ragnarsson (Old Norse: Hálfdan; Old English: Halfdene or Healfdene; Old Irish: Albann; died 877) was a Viking leader and a commander of the Great Heathen Army which invaded the Anglo-Saxon kingdoms of England, starting in 865. According to the tradition recorded in the Norse sagas he was one of the sons of Ragnar Lodbrok, and his brothers included Björn Ironside, Ivar the Boneless, Sigurd Snake-in-the-Eye and Ubba. He was the first Viking King of Northumbria and also claimed the Kingdom of Dublin. He died at the Battle of Strangford Lough in 877 trying to press his Irish claim.	
Equal	Abstract	In Sentence	Sbj-Obj		Sweyn Forkbeard	http://dbpedia.org/resource/Cnut_the_Great	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Sweyn_Forkbeard	Cnut's father was Sweyn Forkbeard	Cnut the Great (Old Norse: Knútr inn ríki; c. 995 – 12 November 1035), more commonly known as Canute, was a king of Denmark, England and Norway, together often referred to as the Anglo-Scandinavian or North Sea Empire. After his death, the deaths of his heirs within a decade, and the Norman conquest of England in 1066, his legacy was largely lost to history. The medieval historian Norman Cantor has stated that he was "the most effective king in Anglo-Saxon history", although Cnut himself was Danish, not British or Anglo-Saxon. Cnut's name is popularly invoked in the context of the legendary story of King Canute and the waves, but usually misrepresenting Cnut as a deluded monarch believing he had supernatural powers, when the original story in fact relates the opposite and portrays a wise king. Cnut's father was Sweyn Forkbeard, King of Denmark (which gave Cnut the patronym Sweynsson, Old Norse Sveinsson). The identity of his mother is uncertain, although medieval tradition makes her a daughter of Mieszko I.As a Danish prince, Cnut won the throne of England in 1016 in the wake of centuries of Viking activity in northwestern Europe. His accession to the Danish throne in 1018 brought the crowns of England and Denmark together. Cnut maintained his power by uniting Danes and English under cultural bonds of wealth and custom, as well as by sheer brutality. After a decade of conflict with opponents in Scandinavia, Cnut claimed the crown of Norway in Trondheim in 1028. The Swedish city Sigtuna was held by Cnut. He had coins struck there that called him king, but there is no narrative record of his occupation. The kingship of England lent the Danes an important link to the maritime zone between the islands of Great Britain and Ireland, where Cnut, like his father before him, had a strong interest and wielded much influence among the Norse–Gaels.Cnut's possession of England's dioceses and the continental Diocese of Denmark – with a claim laid upon it by the Holy Roman Empire's Archdiocese of Hamburg-Bremen—was a source of great leverage within the Catholic Church, gaining notable concessions from Pope Benedict VIII and his successor John XIX, such as one on the price of the pallium of his bishops, though they still had to travel to obtain the pallium. Cnut attempted to gain concessions on the tolls his people had to pay on the way to Rome from other magnates of medieval Christendom, at the coronation of the Holy Roman Emperor. After his 1026 victory against Norway and Sweden, and on his way to Rome for this coronation, Cnut, in a letter written for the benefit of his subjects, which only now exists in two twelfth-century Latin versions, deemed himself "King of all England and Denmark and the Norwegians and of some of the Swedes". The Anglo-Saxon kings used the title "king of the English". Cnut was ealles Engla landes cyning—"king of all England."	
Equal	Abstract	In Sentence	Sbj-Obj		Theophanu	http://dbpedia.org/resource/Otto_III,_Holy_Roman_Emperor	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Theophanu	Otto III was the only son of the Emperor Otto II and his wife Theophanu	Otto III (June/July 980 – 23 January 1002) was Holy Roman Emperor from 996 until his early death in 1002. A member of the Ottonian dynasty, Otto III was the only son of the Emperor Otto II and his wife Theophanu. Otto III was crowned as King of Germany in 983 at the age of three, shortly after his father's death in southern Italy while campaigning against the Byzantine Empire and the Emirate of Sicily. Though the nominal ruler of Germany, Otto III's minor status ensured his various regents held power over the Empire. His cousin Henry II, Duke of Bavaria, initially claimed regency over the young king and attempted to seize the throne for himself in 984. When his rebellion failed to gain the support of Germany's aristocracy, Henry II was forced to abandon his claims to the throne and to allow Otto III's mother Theophanu to serve as regent until her death in 991. Otto III was then still a child, so his grandmother, the Dowager Empress Adelaide of Italy, served as regent until 994. In 996, Otto III marched to Italy to claim the titles King of Italy and Holy Roman Emperor, which had been left unclaimed since the death of Otto II in 983. Otto III also sought to reestablish Imperial control over the city of Rome, which had revolted under the leadership of Crescentius II, and through it the papacy. Crowned as Emperor, Otto III put down the Roman rebellion and installed his cousin as Pope Gregory V, the first Pope of German descent. After the Emperor had pardoned him and left the city, Crescentius II again rebelled, deposing Gregory V and installing John XVI as Pope. Otto III returned to the city in 998, reinstalled Gregory V, and executed both Crescentius II and John XVI. When Gregory V died in 999, Otto III installed Sylvester II as the new Pope. Otto III's actions throughout his life further strengthened imperial control over the Catholic Church. From the beginning of his reign, Otto III faced opposition from the Slavs along the eastern frontier. Following the death of his father in 983, the Slavs rebelled against imperial control, forcing the Empire to abandon its territories east of the Elbe river. Otto III would fight to regain the Empire's lost territories throughout his reign with only limited success. While in the east, Otto III strengthened the Empire's relations with Poland, Bohemia, and Hungary. Through his affairs in Eastern Europe in 1000, he was able to extend the influence of Christianity by supporting mission work in Poland and through the crowning of Stephen I as the first Christian king of Hungary. Returning to Rome in 1001, Otto III faced a rebellion by the Roman aristocracy, which forced him to flee the city. While marching to reclaim the city in 1002, however, Otto III suffered a sudden fever and died in a castle near Civita Castellana at the age of 21. With no clear heir to succeed him, his early death threw the Empire into political crisis.	
Equal	Abstract	In Sentence	Sbj-Obj		Vespasian	http://dbpedia.org/resource/Titus	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Vespasian	Titus succeeded his father Vespasian	Titus (Latin: Titus Flāvius Caesar Vespasiānus Augustus; 30 December 39 AD – 13 September 81 AD) was Roman emperor from 79 to 81. A member of the Flavian dynasty, Titus succeeded his father Vespasian upon his death, thus becoming the first Roman Emperor to come to the throne after his own biological father. Prior to becoming Emperor, Titus gained renown as a military commander, serving under his father in Judea during the First Jewish–Roman War. The campaign came to a brief halt with the death of emperor Nero in 68, launching Vespasian's bid for the imperial power during the Year of the Four Emperors. When Vespasian was declared Emperor on 1 July 69, Titus was left in charge of ending the Jewish rebellion. In 70, he besieged and captured Jerusalem, and destroyed the city and the Second Temple. For this achievement Titus was awarded a triumph: the Arch of Titus commemorates his victory to this day. Under the rule of his father, Titus gained notoriety in Rome serving as prefect of the Praetorian Guard, and for carrying on a controversial relationship with the Jewish queen Berenice. Despite concerns over his character, Titus ruled to great acclaim following the death of Vespasian in 79, and was considered a good emperor by Suetonius and other contemporary historians. As emperor, he is best known for completing the Colosseum and for his generosity in relieving the suffering caused by two disasters, the eruption of Mount Vesuvius in AD 79 and a fire in Rome in 80. After barely two years in office, Titus died of a fever on 13 September 81. He was deified by the Roman Senate and succeeded by his younger brother Domitian.	
Equal	Abstract	In Sentence	Sbj-Obj		Vladimir the Great	http://dbpedia.org/resource/Yaroslav_the_Wise	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Vladimir_the_Great	the Varangian Grand Prince Vladimir the Great	Yaroslav I, Grand Prince of Rus', known as Yaroslav the Wise or Iaroslav the Wise (Old East Slavic: Ꙗрославъ Володимировичъ Мѫдрꙑи, Jaroslavŭ Volodimirovičŭ Mǫdryi; Old Norse: Jarizleifr; Russian: Яросла́в Му́дрый, Yaroslav Mudry; Ukrainian: Ярослав Мудрий, Yaroslav Mudriy; c. 978 – 20 February 1054) was thrice grand prince of Veliky Novgorod and Kiev, uniting the two principalities for a time under his rule. Yaroslav's Christian name was George (Yuri) after Saint George (Old East Slavic: Гюрьгi, Gjurĭgì). A son of the Varangian Grand Prince Vladimir the Great, he was vice-regent of Novgorod at the time of his father's death in 1015. Subsequently, his eldest surviving brother, Sviatopolk I of Kiev, killed three of his other brothers and seized power in Kiev. Yaroslav, with the active support of the Novgorodians and the help of Varangian mercenaries,defeated Svyatopolk and became the Grand Prince of Kiev in 1019. Under Yaroslav the codification of legal customs and princely enactments was begun, and this work served as the basis for a law code called the Russkaya Pravda ("Rus Truth [Law]"). During his lengthy reign, Kievan Rus' reached the zenith of its cultural flowering and military power.	
Equal	Abstract	In Sentence	Sbj-Obj		Andrew Parker Bowles	http://dbpedia.org/resource/Tom_Parker_Bowles	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Andrew_Parker_Bowles	Parker Bowles is the son of Camilla, Duchess of Cornwall and Andrew Parker Bowles	Thomas Henry Charles Parker Bowles (/boʊlz/; born 18 December 1974) is a British food writer and food critic. Parker Bowles is the author of five cookbooks and in 2010 won the Guild of Food Writers 2010 award for his writings on British food. He is known for his appearances as a judge in numerous television food series and for his reviews of restaurant meals around the UK and overseas for GQ, Esquire, and The Mail on Sunday. Parker Bowles is the son of Camilla, Duchess of Cornwall and Andrew Parker Bowles. His stepfather and godfather is Charles, Prince of Wales. He has one younger sister, Laura Lopes.	
Equal	Abstract	In Sentence	Pronoun-Obj		Carlo Alberto Dalla Chiesa	http://dbpedia.org/resource/Rita_Dalla_Chiesa	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Carlo_Alberto_Dalla_Chiesa	(**her=Rita Dalla Chiesa**): Her father was the general Carlo Alberto Dalla Chiesa	Rita Dalla Chiesa (born 31 August 1947) is an Italian television host. Her father was the general Carlo Alberto Dalla Chiesa, assassinated in 1982 together with his wife, Emanuela Setti Carraro.	
Equal	Abstract	In Sentence	Sbj-Obj		Christian Frederick of Stolberg-Wernigerode	http://dbpedia.org/resource/Louise_of_Stolberg-Wernigerode	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Christian_Frederick_of_Stolberg-Wernigerode	of Count Christian Frederick of Stolberg-Wernigerode	Countess Louise of Stolberg-Wernigerode (24 November 1771 at Wernigerode Castle – 8 June 1856 in Groß Krauschen) was abbess of Drübeck Abbey. Louise was a member of the House of Stolberg, from the Harz area. She was the second eldest daughter of Count Christian Frederick of Stolberg-Wernigerode and his wife Auguste Eleonore of Stolberg-Stolberg. She was an older sister of Henry of Stolberg-Wernigerode. From 1797 to 1800, she was abbess of Drübeck Abbey. On 21 December 1807, she left the abbey to marry Moritz Haubold von Schönberg. She moved to his estate in Groß Krauschen, which is now in Poland and called Gmina Bolesławiec. She died there in 1856.	
Equal	Abstract	In Sentence	Pronoun-Obj		Franco Sensi	http://dbpedia.org/resource/Rosella_Sensi	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/Franco_Sensi	(**she=Rosella Sensi**): She has held the post of managing director and, since August 28, 2008, also the Presidency of Roma, replacing her father, Franco Sensi	Rosella Sensi (born 18 December 1971 in Rome) is an entrepreneur and Italian professional sports executive. She was the Chairman of the Italian professional football (soccer) club Associazione Sportiva Roma (A.S. Roma, usually referred to simply as Roma) from 2008 to 2011. She is a graduate of the Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS). She has held the post of managing director and, since August 28, 2008, also the Presidency of Roma, replacing her father, Franco Sensi, who was the president until he died on August 17, 2008. She is the second woman to hold the office of president of the club. Previously, Flora Viola, the widow of Dino Viola, succeeded her husband as president of the club when he died in 1991. Rosella Sensi was one of two women to lead a football club in Italy's top professional sports soccer league, Serie A with Francesca Menarini served as the Chairman of Bologna F.C.. Beginning in 2006, the president of Roma has filled the office of the vice president of the Italian Lega Calcio. Sensi was the first vice-president of newly formed Lega Serie A in 2010. On March 31, 2009, Sensi gave birth to a daughter, Livia. On July 8, 2010, due to debts of her family company Compagnia Italpetroli to UniCredit, she agreed to sell A.S. Roma. During the interim period, A.S Roma was de facto owned by the bank which was seeking an outside buyer and Sensi continually stayed in charge as President. On March 31, 2011, She resigned from her post as a consortium led by American businessman Thomas DiBenedetto had agreed to a takeover deal for the club. On 16 April the sales was completed for €70.3 million, to transfer Roma 2000 S.r.l. (a holding company with AS Roma SpA, ASR Real Estate S.r.l. and Brand Management S.r.l. as subsidiaries) from Compagnia Italpetroli to "NEEP Roma Holding", a 60–40 joint venture by AS Roma SPV LCC and UniCredit. UniCredit also received several other assets from Compagnia Italpetroli as a debt settlement.	
Equal	Abstract	In Sentence	Sbj-Obj		G. P. Sippy	http://dbpedia.org/resource/Ramesh_Sippy	http://dbpedia.org/ontology/parent	http://dbpedia.org/resource/G._P._Sippy	Sippy's father was producer G. P. Sippy	Ramesh Sippy (Sindhi: رمیش سپی‎) (born 23 January 1947) is an Indian film director, best known for directing the popular and critically acclaimed film Sholay. He is of Sindhi Hindu descent, with an original last name of Sipahimalani. He is a winner of the civilian honour of Padma Shri in 2013. Sippy's father was producer G. P. Sippy. His son Rohan Sippy is a film director. His daughter Sheena is married to Shashi Kapoor's son, Kunal Kapoor. Ramesh Sippy has been married twice; his current wife is actress Kiran Juneja.	
